% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 86.91    0.035810        3581        10         2 futex
  4.11    0.001695         105        16           munmap
  3.00    0.001235          37        33           mmap
  0.92    0.000379          21        18         5 openat
  0.88    0.000362          25        14           mprotect
  0.84    0.000346          24        14           fstat
  0.74    0.000304          25        12           read
  0.59    0.000243          18        13           close
  0.53    0.000217          24         9           brk
  0.37    0.000154         154         1           clone3
  0.25    0.000104          26         4           newfstatat
  0.14    0.000058          19         3           rt_sigprocmask
  0.13    0.000053          26         2           lseek
  0.12    0.000050          25         2           pread64
  0.09    0.000038          38         1           madvise
  0.08    0.000033          33         1         1 ioctl
  0.06    0.000026          26         1           rseq
  0.06    0.000024          24         1           set_tid_address
  0.05    0.000021          21         1           getrandom
  0.03    0.000014          14         1           sched_yield
  0.03    0.000013          13         1           set_robust_list
  0.03    0.000013          13         1           rt_sigaction
  0.03    0.000013          13         1           prlimit64
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           write
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.041205         252       163         9 total
