% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.87    0.000798          24        33           mmap
 14.99    0.000602          60        10         2 futex
 14.76    0.000593          37        16           munmap
 12.35    0.000496          27        18         5 openat
  7.84    0.000315          26        12           read
  6.72    0.000270         270         1           execve
  4.41    0.000177          12        14           mprotect
  4.31    0.000173          57         3           rt_sigprocmask
  4.03    0.000162          12        13           close
  3.34    0.000134           9        14           fstat
  1.79    0.000072          72         1           clone3
  1.54    0.000062          15         4           newfstatat
  1.07    0.000043          21         2           pread64
  0.52    0.000021           7         3           brk
  0.40    0.000016          16         1         1 faccessat
  0.40    0.000016           8         2           lseek
  0.40    0.000016          16         1           madvise
  0.37    0.000015          15         1           set_robust_list
  0.35    0.000014          14         1           rseq
  0.32    0.000013          13         1           set_tid_address
  0.22    0.000009           9         1           rt_sigaction
  0.00    0.000000           0         1         1 ioctl
  0.00    0.000000           0         1           write
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.004017          25       156         9 total
