% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.45    0.007014         779         9           futex
 16.95    0.002184         136        16           munmap
  8.10    0.001043          31        33           mmap
  5.80    0.000747          41        18         5 openat
  5.40    0.000695          49        14           mprotect
  2.33    0.000300          25        12           read
  1.90    0.000245          18        13           close
  1.36    0.000175          58         3           rt_sigprocmask
  1.27    0.000164          11        14           fstat
  0.50    0.000064          16         4           newfstatat
  0.46    0.000059          59         1           clone3
  0.29    0.000038          19         2           pread64
  0.26    0.000034          34         1         1 ioctl
  0.21    0.000027          27         1           rseq
  0.18    0.000023          11         2           lseek
  0.10    0.000013          13         1           set_tid_address
  0.09    0.000012          12         1           set_robust_list
  0.09    0.000012          12         1           madvise
  0.09    0.000011          11         1           rt_sigaction
  0.08    0.000010          10         1           prlimit64
  0.07    0.000009           9         1           getrandom
  0.02    0.000003           3         1           write
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.012882          83       155         7 total
