backend,variant,bytes,iterations,key,calls_mean,seconds_mean,pct_time_mean,calls_per_iter,usec_per_iter,usec_per_call,calls_per_byte,usec_per_byte
tb_cpu,alloc,5000000,100,other,20.0,0.00037400000000000004,50.31999999999999,0.2,3.7400000000000007,18.700000000000003,4e-06,7.480000000000002e-05
tb_cpu,alloc,5000000,100,sync,1.0,0.0,0.0,0.01,0.0,0.0,2e-07,0.0
tb_cpu,alloc,5000000,5000,file_io,25.0,0.00015,21.099999999999998,0.005,0.03,6.0,5e-06,3e-05
tb_cpu,alloc,5000000,5000,memory,30.0,0.00020800000000000001,29.259999999999998,0.006,0.041600000000000005,6.9333333333333345,6e-06,4.160000000000001e-05
tb_cpu,alloc,5000000,5000,other,20.0,0.000349,49.07000000000001,0.004,0.0698,17.45,4e-06,6.98e-05
tb_cpu,alloc,5000000,5000,sync,1.0,4e-06,0.56,0.0002,0.0008,4.0,2e-07,8e-07
tb_cpu,alloc,5000000,10000,file_io,25.0,8.300000000000001e-05,25.93,0.0025,0.008300000000000002,3.3200000000000007,5e-06,1.6600000000000004e-05
tb_cpu,alloc,5000000,10000,memory,30.0,0.00019999999999999998,62.5,0.003,0.019999999999999997,6.666666666666666,6e-06,3.9999999999999996e-05
tb_cpu,alloc,5000000,10000,other,20.0,3.2999999999999996e-05,10.319999999999999,0.002,0.003299999999999999,1.6499999999999997,4e-06,6.599999999999999e-06
tb_cpu,alloc,5000000,10000,sync,1.0,4e-06,1.25,0.0001,0.0004,4.0,2e-07,8e-07
tb_cpu,alloc,5000000,50000,file_io,25.0,0.000154,21.009999999999998,0.0005,0.00308,6.16,5e-06,3.08e-05
tb_cpu,alloc,5000000,50000,memory,30.0,0.000216,29.470000000000002,0.0006,0.00432,7.2,6e-06,4.32e-05
tb_cpu,alloc,5000000,50000,other,20.0,0.00035999999999999997,49.12999999999998,0.0004,0.007199999999999999,17.999999999999996,4e-06,7.199999999999999e-05
tb_cpu,alloc,5000000,50000,sync,1.0,3e-06,0.41,2e-05,6e-05,3.0,2e-07,6e-07
tb_cpu,alloc,5000000,100000,file_io,25.0,0.0,0.0,0.00025,0.0,0.0,5e-06,0.0
tb_cpu,alloc,5000000,100000,memory,30.0,1.1e-05,73.33,0.0003,0.00011,0.36666666666666664,6e-06,2.2e-06
tb_cpu,alloc,5000000,100000,other,20.0,4e-06,26.67,0.0002,4e-05,0.2,4e-06,8e-07
tb_cpu,alloc,5000000,100000,sync,1.0,0.0,0.0,1e-05,0.0,0.0,2e-07,0.0
tb_cpu,alloc,7500000,100,file_io,25.0,0.0,0.0,0.25,0.0,0.0,3.3333333333333333e-06,0.0
tb_cpu,alloc,7500000,100,memory,30.0,0.0,0.0,0.3,0.0,0.0,4e-06,0.0
tb_cpu,alloc,7500000,100,other,20.0,0.0,0.0,0.2,0.0,0.0,2.666666666666667e-06,0.0
tb_cpu,alloc,7500000,100,sync,1.0,0.0,0.0,0.01,0.0,0.0,1.3333333333333334e-07,0.0
tb_cpu,alloc,7500000,5000,file_io,25.0,0.000161,22.15,0.005,0.0322,6.44,3.3333333333333333e-06,2.1466666666666666e-05
tb_cpu,alloc,7500000,5000,memory,30.0,0.00021700000000000002,29.85,0.006,0.04340000000000001,7.233333333333334,4e-06,2.8933333333333336e-05
tb_cpu,alloc,7500000,5000,other,20.0,0.000349,48.00999999999999,0.004,0.0698,17.45,2.666666666666667e-06,4.653333333333333e-05
tb_cpu,alloc,7500000,5000,sync,1.0,0.0,0.0,0.0002,0.0,0.0,1.3333333333333334e-07,0.0
tb_cpu,alloc,7500000,10000,file_io,25.0,2.7e-05,18.75,0.0025,0.0027,1.08,3.3333333333333333e-06,3.6e-06
tb_cpu,alloc,7500000,10000,memory,30.0,8.999999999999999e-05,62.489999999999995,0.003,0.009,2.9999999999999996,4e-06,1.1999999999999999e-05
tb_cpu,alloc,7500000,10000,other,20.0,2.4e-05,16.66,0.002,0.0024,1.2,2.666666666666667e-06,3.2e-06
tb_cpu,alloc,7500000,10000,sync,1.0,3e-06,2.08,0.0001,0.0003,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,50000,file_io,25.0,5.2000000000000004e-05,20.0,0.0005,0.0010400000000000001,2.08,3.3333333333333333e-06,6.9333333333333344e-06
tb_cpu,alloc,7500000,50000,memory,30.0,0.000178,68.46000000000001,0.0006,0.00356,5.933333333333334,4e-06,2.3733333333333332e-05
tb_cpu,alloc,7500000,50000,other,20.0,2.7e-05,10.370000000000001,0.0004,0.00054,1.35,2.666666666666667e-06,3.6e-06
tb_cpu,alloc,7500000,50000,sync,1.0,3e-06,1.15,2e-05,6e-05,3.0,1.3333333333333334e-07,4e-07
