variant,key,E_iters_mean,E_bytes_mean,class
alloc,brk,-1.0600404689180618,0.24841536017414975,mixed
alloc,clone3,-1.2055759334218754,0.3437144812313691,mixed
alloc,close,-0.7918027664712224,-0.6293869173593554,mixed
alloc,execve,-3.3515318079322594,nan,mixed
alloc,faccessat,-1.5145731728297582,nan,mixed
alloc,fstat,-0.7426550550450765,-0.23973320011146115,mixed
alloc,futex,-0.01750625925634774,0.005023171743171029,mostly_constant
alloc,getrandom,-1.1551325135172057,0.15134356097922613,mixed
alloc,ioctl,-0.8807835464479873,-0.3199308164173224,mixed
alloc,madvise,-1.192520657637041,-0.0038686774834542246,mixed
alloc,mmap,-0.903788623964166,-0.13257756715144067,mixed
alloc,mprotect,-0.8956690673948039,-0.19343964307024916,mixed
alloc,munmap,-0.12859592497924646,1.2344613141759557,byte_scaled
alloc,openat,-1.1412245215577606,0.49635849548235345,mixed
alloc,pread64,-0.976014366132626,0.5554837965032294,mixed
alloc,prlimit64,-1.3228815471861233,0.12472651714650244,mixed
alloc,read,-0.9536902330614732,0.35958908778264015,mixed
alloc,rseq,-0.9009574862052313,0.17998357069654225,mixed
alloc,rt_sigaction,-1.0903961412684324,-0.08960446618230362,mixed
alloc,rt_sigprocmask,-0.8533891365035621,-0.30802467810542805,mixed
alloc,sched_yield,0.06369511077805447,0.054153893079066706,mostly_constant
alloc,set_robust_list,-0.8721907461396099,0.2230844478796434,mixed
alloc,set_tid_address,-0.8709461564792086,-0.14741462656899504,mixed
alloc,write,-0.8757449715971185,-0.10262128151945966,mixed
baseline,brk,-0.9425189375789017,-0.24481296368682648,mixed
baseline,clone3,-1.2159330356035702,-0.22718861372657564,mixed
baseline,close,-1.1905088079456876,-0.40367246766539355,mixed
baseline,execve,nan,-0.06970897181140379,mixed
baseline,faccessat,nan,0.6275204239492289,mixed
baseline,fstat,-0.5401541725455421,0.3843315990394356,mixed
baseline,futex,-0.6741965514279694,0.11048554857209358,mixed
baseline,getrandom,-0.44577163115414326,-0.31614466239339095,mixed
baseline,ioctl,-0.6246605492876799,-0.36194378610016636,mixed
baseline,madvise,-1.0587505936915853,-0.5820747276216824,mixed
baseline,mmap,-0.7846293809109613,0.04282707465752753,mixed
baseline,mprotect,-0.7529827146285019,0.27507004373814953,mixed
baseline,munmap,-0.26118735011359634,0.5609647017240841,mixed
baseline,openat,-0.8544871117986325,-0.02313231034116904,mixed
baseline,pread64,-1.2293505478739983,-0.5473580743332572,mixed
baseline,prlimit64,-0.9007598694729236,-0.3006950579649298,mixed
baseline,read,-0.8218686314043729,0.23562833610468084,mixed
baseline,rseq,-1.0274025375600115,-0.009443008540852567,mixed
baseline,rt_sigaction,-0.7885667536428235,0.11916386066947325,mixed
baseline,rt_sigprocmask,-1.061414847513848,-0.9565924687215465,mixed
baseline,set_robust_list,-1.1124079314968567,-0.12928539279194057,mixed
baseline,set_tid_address,-1.4838569695862163,0.03831249810297786,mixed
baseline,write,-0.9109386793180374,0.05892087093958415,mixed
kernels,brk,-0.032416422623054976,0.62672115577916,mixed
kernels,clone3,-0.8228784169581977,0.20660734578879328,mixed
kernels,close,-0.8611542930264826,0.17248470683793563,mixed
kernels,execve,-0.8063543850723197,-0.4251312706011384,mixed
kernels,faccessat,-0.9112042638059267,-0.378778288692341,mixed
kernels,fstat,-0.9255458458669921,0.08230940695112751,mixed
kernels,futex,-0.1324846438034822,0.5341108380987157,mixed
kernels,getrandom,-0.8894058229430946,0.4589976825148602,mixed
kernels,ioctl,-1.3495703388205063,0.3895887845078062,mixed
kernels,lseek,-0.7837854817824738,0.4696899798847027,mixed
kernels,madvise,-0.96109399615733,-0.5637385448704858,mixed
kernels,mmap,-0.7969690543235166,0.09734373154801745,mixed
kernels,mprotect,-0.7944959976364657,0.3064618888428439,mixed
kernels,munmap,-0.6770221426290219,0.6562858578759873,mixed
kernels,newfstatat,-0.8952507272334757,-0.33269450852404014,mixed
kernels,openat,-0.6720373856180225,0.23159811450620862,mixed
kernels,pread64,-1.2734733760652939,0.17736491491306036,mixed
kernels,prlimit64,-1.1760995334717645,-0.012756279671877119,mixed
kernels,read,-0.6919250779349942,0.21035259346917692,mixed
kernels,rseq,-0.9270110123025384,0.0701187197418341,mixed
kernels,rt_sigaction,-0.6309293765826538,0.2504640186548552,mixed
kernels,rt_sigprocmask,-0.8616135283871219,-0.7409800300571964,mixed
kernels,sched_yield,-0.9232792730119578,0.23168546734885065,mixed
kernels,set_robust_list,-1.2582943079027977,0.060332606474357654,mixed
kernels,set_tid_address,-0.921563258399074,0.14838605327929083,mixed
kernels,write,-2.8018896748838586,1.1204464527218754,mixed
