variant,key,bytes,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,fstat,10000000,10000,50000,usec_per_iter,0.0236,0.0039,-1.118570741367246
alloc,fstat,10000000,50000,100000,usec_per_iter,0.0039,0.00159,-1.2944473584652554
alloc,futex,10000000,100,5000,usec_per_iter,244.05,252.6294,0.008831867888110436
alloc,futex,10000000,5000,10000,usec_per_iter,252.6294,238.9965,-0.08003305326109256
alloc,futex,10000000,10000,50000,usec_per_iter,238.9965,238.6301,-0.0009532851172024548
alloc,futex,10000000,50000,100000,usec_per_iter,238.6301,239.70751,0.0064990778903155424
alloc,getrandom,10000000,100,5000,usec_per_iter,0.0,0.002,nan
alloc,getrandom,10000000,5000,10000,usec_per_iter,0.002,0.0,nan
alloc,getrandom,10000000,10000,50000,usec_per_iter,0.0,0.00032,nan
alloc,getrandom,10000000,50000,100000,usec_per_iter,0.00032,0.00015,-1.0931094043914813
alloc,ioctl,10000000,100,5000,usec_per_iter,0.72,0.0126,-1.0341335908401459
alloc,ioctl,10000000,5000,10000,usec_per_iter,0.0126,0.0453,1.846087316546318
alloc,ioctl,10000000,10000,50000,usec_per_iter,0.0453,0.00302,-1.682606194485986
alloc,ioctl,10000000,50000,100000,usec_per_iter,0.00302,0.00161,-0.9074878612104617
alloc,madvise,10000000,100,5000,usec_per_iter,0.0,0.0028,nan
alloc,madvise,10000000,5000,10000,usec_per_iter,0.0028,0.0015,-0.9004643264490853
alloc,madvise,10000000,10000,50000,usec_per_iter,0.0015,0.0006,-0.5693234419266078
alloc,madvise,10000000,50000,100000,usec_per_iter,0.0006,0.00017,-1.8194277543581772
alloc,mmap,10000000,100,5000,usec_per_iter,6.64,0.1122,-1.0430879991553859
alloc,mmap,10000000,5000,10000,usec_per_iter,0.1122,0.0535,-1.0684618793202827
alloc,mmap,10000000,10000,50000,usec_per_iter,0.0535,0.00762,-1.2109229372234056
alloc,mmap,10000000,50000,100000,usec_per_iter,0.00762,0.00265,-1.523798638042761
alloc,mprotect,10000000,100,5000,usec_per_iter,1.65,0.0316,-1.0110813358749329
alloc,mprotect,10000000,5000,10000,usec_per_iter,0.0316,0.015,-1.0749620576812224
alloc,mprotect,10000000,10000,50000,usec_per_iter,0.015,0.00376,-0.8596984282592269
alloc,mprotect,10000000,50000,100000,usec_per_iter,0.00376,0.00198,-0.9252322315980278
alloc,munmap,10000000,100,5000,usec_per_iter,12.39,0.2944,-0.9559518393883216
alloc,munmap,10000000,5000,10000,usec_per_iter,0.2944,0.1459,-1.0127977881391217
