backend,variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
tb_cpu,alloc,rseq,100,5000000,7500000,usec_per_iter,0.03,0.0,nan
tb_cpu,alloc,rseq,100,7500000,10000000,usec_per_iter,0.0,0.04,nan
tb_cpu,alloc,set_robust_list,100,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,set_robust_list,100,2500000,5000000,usec_per_iter,0.0,0.03,nan
tb_cpu,alloc,set_robust_list,100,5000000,7500000,usec_per_iter,0.03,0.0,nan
tb_cpu,alloc,set_robust_list,100,7500000,10000000,usec_per_iter,0.0,0.03,nan
tb_cpu,alloc,set_tid_address,100,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,set_tid_address,100,2500000,5000000,usec_per_iter,0.0,0.03,nan
tb_cpu,alloc,set_tid_address,100,5000000,7500000,usec_per_iter,0.03,0.0,nan
tb_cpu,alloc,set_tid_address,100,7500000,10000000,usec_per_iter,0.0,0.04,nan
tb_cpu,alloc,access,5000,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,access,5000,2500000,5000000,usec_per_iter,0.0,0.0012,nan
tb_cpu,alloc,access,5000,5000000,7500000,usec_per_iter,0.0012,0.001,-0.44966028678679076
tb_cpu,alloc,access,5000,7500000,10000000,usec_per_iter,0.001,0.0,nan
tb_cpu,alloc,arch_prctl,5000,1000000,2500000,usec_per_iter,0.0008,0.0,nan
tb_cpu,alloc,arch_prctl,5000,2500000,5000000,usec_per_iter,0.0,0.0006,nan
tb_cpu,alloc,arch_prctl,5000,5000000,7500000,usec_per_iter,0.0006,0.0008,0.7095112913514577
tb_cpu,alloc,arch_prctl,5000,7500000,10000000,usec_per_iter,0.0008,0.0,nan
tb_cpu,alloc,brk,5000,1000000,2500000,usec_per_iter,0.0024,0.0022,-0.09496044646403719
tb_cpu,alloc,brk,5000,2500000,5000000,usec_per_iter,0.0022,0.003,0.4474589769712204
tb_cpu,alloc,brk,5000,5000000,7500000,usec_per_iter,0.003,0.001,-2.7095112913514576
tb_cpu,alloc,brk,5000,7500000,10000000,usec_per_iter,0.001,0.0,nan
tb_cpu,alloc,close,5000,1000000,2500000,usec_per_iter,0.0034,0.0,nan
tb_cpu,alloc,close,5000,2500000,5000000,usec_per_iter,0.0,0.0026,nan
tb_cpu,alloc,close,5000,5000000,7500000,usec_per_iter,0.0026,0.0036,0.8025903929267745
tb_cpu,alloc,close,5000,7500000,10000000,usec_per_iter,0.0036,0.0,nan
tb_cpu,alloc,execve,5000,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,execve,5000,2500000,5000000,usec_per_iter,0.0,0.050199999999999995,nan
tb_cpu,alloc,execve,5000,5000000,7500000,usec_per_iter,0.050199999999999995,0.0516,0.06783973574982946
tb_cpu,alloc,execve,5000,7500000,10000000,usec_per_iter,0.0516,0.0,nan
tb_cpu,alloc,fstat,5000,1000000,2500000,usec_per_iter,0.0034,0.0,nan
tb_cpu,alloc,fstat,5000,2500000,5000000,usec_per_iter,0.0,0.003,nan
tb_cpu,alloc,fstat,5000,5000000,7500000,usec_per_iter,0.003,0.0038,0.5830064618067469
tb_cpu,alloc,fstat,5000,7500000,10000000,usec_per_iter,0.0038,0.0,nan
tb_cpu,alloc,futex,5000,1000000,2500000,usec_per_iter,0.001,0.0008,-0.24352920263396968
tb_cpu,alloc,futex,5000,2500000,5000000,usec_per_iter,0.0008,0.0008,0.0
tb_cpu,alloc,futex,5000,5000000,7500000,usec_per_iter,0.0008,0.0,nan
tb_cpu,alloc,futex,5000,7500000,10000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,getrandom,5000,1000000,2500000,usec_per_iter,0.001,0.001,0.0
tb_cpu,alloc,getrandom,5000,2500000,5000000,usec_per_iter,0.001,0.0008,-0.32192809488736224
tb_cpu,alloc,getrandom,5000,5000000,7500000,usec_per_iter,0.0008,0.0,nan
tb_cpu,alloc,getrandom,5000,7500000,10000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,mmap,5000,1000000,2500000,usec_per_iter,0.0356,0.0,nan
tb_cpu,alloc,mmap,5000,2500000,5000000,usec_per_iter,0.0,0.0308,nan
tb_cpu,alloc,mmap,5000,5000000,7500000,usec_per_iter,0.0308,0.0376,0.49200130030203104
tb_cpu,alloc,mmap,5000,7500000,10000000,usec_per_iter,0.0376,0.0,nan
