backend,variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
tb_cpu,baseline,file_io,5000,2500000,5000000,usec_per_iter,0.0,0.032,nan
tb_cpu,baseline,file_io,5000,5000000,7500000,usec_per_iter,0.032,0.0272,-0.40082099852207465
tb_cpu,baseline,file_io,5000,7500000,10000000,usec_per_iter,0.0272,0.0052,-5.7513432575534935
tb_cpu,baseline,memory,5000,1000000,2500000,usec_per_iter,0.0412,0.0096,-1.5897521465727877
tb_cpu,baseline,memory,5000,2500000,5000000,usec_per_iter,0.0096,0.04019999999999999,2.0660891904577716
tb_cpu,baseline,memory,5000,5000000,7500000,usec_per_iter,0.04019999999999999,0.0394,-0.049575608157445966
tb_cpu,baseline,memory,5000,7500000,10000000,usec_per_iter,0.0394,0.02,-2.3568849354126584
tb_cpu,baseline,other,5000,1000000,2500000,usec_per_iter,0.08620000000000001,0.003,-3.66483886848125
tb_cpu,baseline,other,5000,2500000,5000000,usec_per_iter,0.003,0.06739999999999999,4.48971418557334
tb_cpu,baseline,other,5000,5000000,7500000,usec_per_iter,0.06739999999999999,0.014000000000000002,-3.876012157089873
tb_cpu,baseline,other,5000,7500000,10000000,usec_per_iter,0.014000000000000002,0.004599999999999999,-3.8688577867734857
tb_cpu,baseline,sync,5000,1000000,2500000,usec_per_iter,0.0,0.0006,nan
tb_cpu,baseline,sync,5000,2500000,5000000,usec_per_iter,0.0006,0.0,nan
tb_cpu,baseline,sync,5000,5000000,7500000,usec_per_iter,0.0,0.0008,nan
tb_cpu,baseline,sync,5000,7500000,10000000,usec_per_iter,0.0008,0.0008,0.0
tb_cpu,baseline,file_io,100000,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,baseline,file_io,100000,2500000,5000000,usec_per_iter,0.0,0.00013,nan
tb_cpu,baseline,file_io,100000,5000000,7500000,usec_per_iter,0.00013,0.0014600000000000004,5.965142785113803
tb_cpu,baseline,file_io,100000,7500000,10000000,usec_per_iter,0.0014600000000000004,0.00125,-0.5398073056223005
tb_cpu,baseline,memory,100000,1000000,2500000,usec_per_iter,0.00042000000000000007,0.0,nan
tb_cpu,baseline,memory,100000,2500000,5000000,usec_per_iter,0.0,0.00075,nan
tb_cpu,baseline,memory,100000,5000000,7500000,usec_per_iter,0.00075,0.0021299999999999995,2.574337547917106
tb_cpu,baseline,memory,100000,7500000,10000000,usec_per_iter,0.0021299999999999995,0.00217,0.06467273984948324
tb_cpu,baseline,other,100000,1000000,2500000,usec_per_iter,9e-05,0.0,nan
tb_cpu,baseline,other,100000,2500000,5000000,usec_per_iter,0.0,0.00301,nan
tb_cpu,baseline,other,100000,5000000,7500000,usec_per_iter,0.00301,0.0036500000000000005,0.4754714646918186
tb_cpu,baseline,other,100000,7500000,10000000,usec_per_iter,0.0036500000000000005,0.0006,-6.276208927349893
tb_cpu,baseline,sync,100000,1000000,2500000,usec_per_iter,5e-05,0.0,nan
tb_cpu,baseline,sync,100000,2500000,5000000,usec_per_iter,0.0,2e-05,nan
tb_cpu,baseline,sync,100000,5000000,7500000,usec_per_iter,2e-05,4e-05,1.7095112913514579
tb_cpu,baseline,sync,100000,7500000,10000000,usec_per_iter,4e-05,4e-05,0.0
tb_cpu,kernels,file_io,100,1000000,2500000,usec_per_iter,0.24999999999999997,1.33,1.8241735348940695
tb_cpu,kernels,file_io,100,2500000,5000000,usec_per_iter,1.33,0.03,-5.470319934780033
tb_cpu,kernels,file_io,100,5000000,7500000,usec_per_iter,0.03,0.0,nan
tb_cpu,kernels,file_io,100,7500000,10000000,usec_per_iter,0.0,0.77,nan
tb_cpu,kernels,memory,100,1000000,2500000,usec_per_iter,1.24,2.0999999999999996,0.5749550298679506
tb_cpu,kernels,memory,100,2500000,5000000,usec_per_iter,2.0999999999999996,0.69,-1.6057210608879533
tb_cpu,kernels,memory,100,5000000,7500000,usec_per_iter,0.69,0.0,nan
tb_cpu,kernels,memory,100,7500000,10000000,usec_per_iter,0.0,1.97,nan
tb_cpu,kernels,other,100,1000000,2500000,usec_per_iter,0.30999999999999994,2.970000000000001,2.4661877019049765
tb_cpu,kernels,other,100,2500000,5000000,usec_per_iter,2.970000000000001,0.2,-3.8923910259134034
tb_cpu,kernels,other,100,5000000,7500000,usec_per_iter,0.2,0.0,nan
tb_cpu,kernels,other,100,7500000,10000000,usec_per_iter,0.0,0.30999999999999994,nan
tb_cpu,kernels,sync,100,1000000,2500000,usec_per_iter,0.03,0.04,0.31396374801627014
tb_cpu,kernels,sync,100,2500000,5000000,usec_per_iter,0.04,0.04,0.0
tb_cpu,kernels,sync,100,5000000,7500000,usec_per_iter,0.04,0.0,nan
tb_cpu,kernels,sync,100,7500000,10000000,usec_per_iter,0.0,0.04,nan
tb_cpu,kernels,file_io,5000,1000000,2500000,usec_per_iter,0.0184,0.0304,0.5479613907807092
tb_cpu,kernels,file_io,5000,2500000,5000000,usec_per_iter,0.0304,0.009999999999999998,-1.6040713236688615
tb_cpu,kernels,file_io,5000,5000000,7500000,usec_per_iter,0.009999999999999998,0.032600000000000004,2.9144978735466776
tb_cpu,kernels,file_io,5000,7500000,10000000,usec_per_iter,0.032600000000000004,0.0,nan
tb_cpu,kernels,memory,5000,1000000,2500000,usec_per_iter,0.038,0.04340000000000001,0.14501214162474196
tb_cpu,kernels,memory,5000,2500000,5000000,usec_per_iter,0.04340000000000001,0.0248,-0.8073549220576046
tb_cpu,kernels,memory,5000,5000000,7500000,usec_per_iter,0.0248,0.0488,1.6694079124253416
tb_cpu,kernels,memory,5000,7500000,10000000,usec_per_iter,0.0488,0.0,nan
tb_cpu,kernels,other,5000,1000000,2500000,usec_per_iter,0.0066,0.0164,0.993365592529842
tb_cpu,kernels,other,5000,2500000,5000000,usec_per_iter,0.0164,0.005599999999999999,-1.5501970825604805
tb_cpu,kernels,other,5000,5000000,7500000,usec_per_iter,0.005599999999999999,0.0758,6.425538579788752
tb_cpu,kernels,other,5000,7500000,10000000,usec_per_iter,0.0758,0.0,nan
tb_cpu,kernels,sync,5000,1000000,2500000,usec_per_iter,0.0004,0.0006,0.44250704934975876
