variant,bytes,iterations,key,calls,seconds,pct_time_sum,calls_per_iter,usec_per_iter,usec_per_call,calls_per_byte,usec_per_byte
kernels,10000000,100000,fstat,28,0.00051,0.04,0.00028,0.0051,18.214285714285715,2.8e-06,5.1000000000000006e-05
kernels,10000000,100000,futex,19,2.5172670000000004,197.11,0.00019,25.172670000000004,132487.73684210528,1.9e-06,0.2517267
kernels,10000000,100000,getrandom,2,6e-05,0.0,2e-05,0.0006,30.0,2e-07,6e-06
kernels,10000000,100000,ioctl,2,1e-06,0.0,2e-05,1e-05,0.5,2e-07,1e-07
kernels,10000000,100000,lseek,4,6.1000000000000005e-05,0.0,4e-05,0.0006100000000000001,15.250000000000002,4e-07,6.100000000000001e-06
kernels,10000000,100000,madvise,2,3.4e-05,0.0,2e-05,0.00034,17.0,2e-07,3.4e-06
kernels,10000000,100000,mmap,76,0.001766,0.15,0.00076,0.01766,23.236842105263158,7.6e-06,0.0001766
kernels,10000000,100000,mprotect,28,0.0006299999999999999,0.06,0.00028,0.006299999999999999,22.499999999999996,2.8e-06,6.299999999999999e-05
kernels,10000000,100000,munmap,40,0.025737000000000003,1.9900000000000002,0.0004,0.25737000000000004,643.4250000000001,4e-06,0.0025737000000000004
kernels,10000000,100000,newfstatat,8,0.000207,0.02,8e-05,0.00207,25.875,8e-07,2.07e-05
kernels,10000000,100000,openat,36,0.0016709999999999997,0.13,0.00036,0.01671,46.41666666666666,3.6e-06,0.00016709999999999997
kernels,10000000,100000,pread64,4,5.3e-05,0.0,4e-05,0.00053,13.25,4e-07,5.3e-06
kernels,10000000,100000,prlimit64,2,2.6e-05,0.0,2e-05,0.00026,13.0,2e-07,2.6e-06
kernels,10000000,100000,read,24,0.000871,0.07,0.00024,0.00871,36.291666666666664,2.4e-06,8.71e-05
kernels,10000000,100000,rseq,2,3.2e-05,0.0,2e-05,0.00032,16.0,2e-07,3.2e-06
kernels,10000000,100000,rt_sigaction,2,5.3e-05,0.0,2e-05,0.00053,26.5,2e-07,5.3e-06
kernels,10000000,100000,rt_sigprocmask,6,0.000172,0.01,6e-05,0.00172,28.666666666666668,6e-07,1.72e-05
kernels,10000000,100000,sched_yield,2,0.00023500000000000002,0.02,2e-05,0.00235,117.50000000000001,2e-07,2.3500000000000002e-05
kernels,10000000,100000,set_robust_list,2,3.4e-05,0.0,2e-05,0.00034,17.0,2e-07,3.4e-06
kernels,10000000,100000,set_tid_address,2,4.7e-05,0.0,2e-05,0.00047,23.5,2e-07,4.7e-06
kernels,10000000,100000,write,2,3e-05,0.0,2e-05,0.0003,15.0,2e-07,3e-06
