backend,variant,key,bytes,vary_x1,vary_x2,metric,y1,y2,elasticity
tb_cpu,baseline,file_io,1000000,10000,50000,usec_per_iter,0.0,0.0029,nan
tb_cpu,baseline,file_io,1000000,50000,100000,usec_per_iter,0.0029,0.0,nan
tb_cpu,baseline,memory,1000000,100,5000,usec_per_iter,1.94,0.0412,-0.9846580631956983
tb_cpu,baseline,memory,1000000,5000,10000,usec_per_iter,0.0412,0.0013,-4.986060809042126
tb_cpu,baseline,memory,1000000,10000,50000,usec_per_iter,0.0013,0.00404,0.7045195212225973
tb_cpu,baseline,memory,1000000,50000,100000,usec_per_iter,0.00404,0.00042000000000000007,-3.265894059973034
tb_cpu,baseline,other,1000000,100,5000,usec_per_iter,0.07,0.0014,-0.9999999999999999
tb_cpu,baseline,other,1000000,5000,10000,usec_per_iter,0.0014,0.0,nan
tb_cpu,baseline,other,1000000,10000,50000,usec_per_iter,0.0,0.00014,nan
tb_cpu,baseline,other,1000000,50000,100000,usec_per_iter,0.00014,0.0,nan
tb_cpu,baseline,sync,1000000,100,5000,usec_per_iter,0.04,0.0,nan
tb_cpu,baseline,sync,1000000,5000,10000,usec_per_iter,0.0,0.0,nan
tb_cpu,baseline,sync,1000000,10000,50000,usec_per_iter,0.0,6e-05,nan
tb_cpu,baseline,sync,1000000,50000,100000,usec_per_iter,6e-05,5e-05,-0.2630344058337916
tb_cpu,baseline,control_io,5000000,100,5000,usec_per_iter,0.14,0.0526,-0.2502353134189974
tb_cpu,baseline,control_io,5000000,5000,10000,usec_per_iter,0.0526,0.0,nan
tb_cpu,baseline,control_io,5000000,10000,50000,usec_per_iter,0.0,0.0,nan
tb_cpu,baseline,control_io,5000000,50000,100000,usec_per_iter,0.0,0.0028900000000000006,nan
tb_cpu,baseline,file_io,5000000,100,5000,usec_per_iter,0.0,0.0454,nan
tb_cpu,baseline,file_io,5000000,5000,10000,usec_per_iter,0.0454,0.0,nan
tb_cpu,baseline,file_io,5000000,10000,50000,usec_per_iter,0.0,0.0,nan
tb_cpu,baseline,file_io,5000000,50000,100000,usec_per_iter,0.0,0.00021000000000000004,nan
tb_cpu,baseline,memory,5000000,100,5000,usec_per_iter,0.52,0.04019999999999999,-0.6543831190149983
tb_cpu,baseline,memory,5000000,5000,10000,usec_per_iter,0.04019999999999999,0.0,nan
tb_cpu,baseline,memory,5000000,10000,50000,usec_per_iter,0.0,0.0,nan
tb_cpu,baseline,memory,5000000,50000,100000,usec_per_iter,0.0,0.00075,nan
tb_cpu,baseline,other,5000000,100,5000,usec_per_iter,0.06,0.0014,-0.9605956612184114
tb_cpu,baseline,other,5000000,5000,10000,usec_per_iter,0.0014,0.0,nan
tb_cpu,baseline,other,5000000,10000,50000,usec_per_iter,0.0,0.0,nan
tb_cpu,baseline,other,5000000,50000,100000,usec_per_iter,0.0,4e-05,nan
tb_cpu,baseline,sync,5000000,100,5000,usec_per_iter,0.04,0.0,nan
tb_cpu,baseline,sync,5000000,5000,10000,usec_per_iter,0.0,0.0,nan
tb_cpu,baseline,sync,5000000,10000,50000,usec_per_iter,0.0,0.0,nan
tb_cpu,baseline,sync,5000000,50000,100000,usec_per_iter,0.0,2e-05,nan
tb_cpu,baseline,control_io,10000000,100,5000,usec_per_iter,0.16000000000000003,0.0026,-1.0530772351006457
tb_cpu,baseline,control_io,10000000,5000,10000,usec_per_iter,0.0026,0.0014,-0.8930847960834871
tb_cpu,baseline,control_io,10000000,10000,50000,usec_per_iter,0.0014,0.0,nan
tb_cpu,baseline,control_io,10000000,50000,100000,usec_per_iter,0.0,0.00014,nan
tb_cpu,baseline,file_io,10000000,100,5000,usec_per_iter,1.5,0.005999999999999999,-1.411408089932221
tb_cpu,baseline,file_io,10000000,5000,10000,usec_per_iter,0.005999999999999999,0.0143,1.2529807411698706
tb_cpu,baseline,file_io,10000000,10000,50000,usec_per_iter,0.0143,0.0,nan
tb_cpu,baseline,file_io,10000000,50000,100000,usec_per_iter,0.0,0.0016400000000000002,nan
tb_cpu,baseline,memory,10000000,100,5000,usec_per_iter,2.18,0.02,-1.1992127540455773
tb_cpu,baseline,memory,10000000,5000,10000,usec_per_iter,0.02,0.021700000000000004,0.11769504266975475
tb_cpu,baseline,memory,10000000,10000,50000,usec_per_iter,0.021700000000000004,0.00032,-2.620011937805919
tb_cpu,baseline,memory,10000000,50000,100000,usec_per_iter,0.00032,0.00217,2.7615512324444786
tb_cpu,baseline,other,10000000,100,5000,usec_per_iter,0.07,0.0012,-1.0394043387815886
tb_cpu,baseline,other,10000000,5000,10000,usec_per_iter,0.0012,0.0007,-0.7776075786635512
tb_cpu,baseline,other,10000000,10000,50000,usec_per_iter,0.0007,0.0,nan
tb_cpu,baseline,other,10000000,50000,100000,usec_per_iter,0.0,7e-05,nan
tb_cpu,baseline,sync,10000000,100,5000,usec_per_iter,0.04,0.0008,-0.9999999999999999
tb_cpu,baseline,sync,10000000,5000,10000,usec_per_iter,0.0008,0.0004,-1.0
tb_cpu,baseline,sync,10000000,10000,50000,usec_per_iter,0.0004,0.0,nan
tb_cpu,baseline,sync,10000000,50000,100000,usec_per_iter,0.0,4e-05,nan
tb_cpu,kernels,control_io,1000000,100,5000,usec_per_iter,0.14,0.0022,-1.0616463800141926
tb_cpu,kernels,control_io,1000000,5000,10000,usec_per_iter,0.0022,0.006400000000000001,1.540568381362703
tb_cpu,kernels,control_io,1000000,10000,50000,usec_per_iter,0.006400000000000001,0.0003,-1.901453153954374
tb_cpu,kernels,control_io,1000000,50000,100000,usec_per_iter,0.0003,0.0,nan
tb_cpu,kernels,file_io,1000000,100,5000,usec_per_iter,0.3500000000000001,0.0214,-0.7143470855304463
tb_cpu,kernels,file_io,1000000,5000,10000,usec_per_iter,0.0214,0.023400000000000004,0.12889773318225775
tb_cpu,kernels,file_io,1000000,10000,50000,usec_per_iter,0.023400000000000004,0.00024,-2.8456222775796762
tb_cpu,kernels,file_io,1000000,50000,100000,usec_per_iter,0.00024,0.0,nan
tb_cpu,kernels,memory,1000000,100,5000,usec_per_iter,1.24,0.038,-0.8909151336882934
tb_cpu,kernels,memory,1000000,5000,10000,usec_per_iter,0.038,0.0235,-0.6933386617659483
tb_cpu,kernels,memory,1000000,10000,50000,usec_per_iter,0.0235,0.0018400000000000003,-1.5826859985402006
tb_cpu,kernels,memory,1000000,50000,100000,usec_per_iter,0.0018400000000000003,0.0,nan
tb_cpu,kernels,other,1000000,100,5000,usec_per_iter,0.07,0.0014,-0.9999999999999999
tb_cpu,kernels,other,1000000,5000,10000,usec_per_iter,0.0014,0.0007,-1.0
tb_cpu,kernels,other,1000000,10000,50000,usec_per_iter,0.0007,0.00014,-1.0000000000000004
tb_cpu,kernels,other,1000000,50000,100000,usec_per_iter,0.00014,0.0,nan
tb_cpu,kernels,sync,1000000,100,5000,usec_per_iter,0.03,0.0004,-1.1036458905138233
tb_cpu,kernels,sync,1000000,5000,10000,usec_per_iter,0.0004,0.0004,0.0
tb_cpu,kernels,sync,1000000,10000,50000,usec_per_iter,0.0004,8e-05,-1.0000000000000004
tb_cpu,kernels,sync,1000000,50000,100000,usec_per_iter,8e-05,0.0,nan
tb_cpu,kernels,control_io,5000000,100,5000,usec_per_iter,0.14,0.0028,-0.9999999999999998
tb_cpu,kernels,control_io,5000000,5000,10000,usec_per_iter,0.0028,0.0011,-1.3479233034203069
tb_cpu,kernels,control_io,5000000,10000,50000,usec_per_iter,0.0011,0.00102,-0.04691548019640475
