bytes,brk,close,execve,fstat,mmap,mprotect,newfstatat,openat,pread64,read
1000000,0.0006,0.0008,0.0002,0.0008,0.0042,0.0012,0.0016,0.003,0.0004,0.0008
2500000,0.0006,0.0008,0.0002,0.0008,0.0042,0.0012,0.0016,0.003,0.0004,0.0008
5000000,0.0006,0.0008,0.0002,0.0008,0.0042,0.0012,0.0016,0.003,0.0004,0.0008
7500000,0.0006,0.0008,0.0002,0.0008,0.0042,0.0012,0.0016,0.003,0.0004,0.0008
10000000,0.0006,0.0008,0.0002,0.0008,0.0042,0.0012,0.0016,0.003,0.0004,0.0008
