bytes,control_io,file_io,memory,other,sync
1000000,1.1e-05,0.001334,0.012708,0.002387,1.509661
5000000,2.78e-05,0.0002016,0.0019506,0.0001804,0.2353076
10000000,0.0,0.0001683,0.0020494,6.42e-05,0.1407721
