bytes,control_io,file_io,memory,other,sync
1000000,2e-06,9.6e-05,0.000388,6e-05,2e-05
2500000,4e-07,1.92e-05,7.76e-05,1.2e-05,4.4e-06
5000000,4e-07,1.92e-05,7.76e-05,1.2e-05,3.8e-06
7500000,1.3333333333333336e-07,6.4e-06,2.5733333333333333e-05,4e-06,1.2e-06
10000000,2e-07,9.6e-06,3.88e-05,6e-06,2.1e-06
