variant,control_io,file_io,memory,other,sync
alloc,0.0551,0.0823,0.0861,0.0014999999999999,0.0014999999999999
baseline,0.0287,0.0531999999999999,0.0762,0.0016,0.001
kernels,0.0321,0.0499,0.0473,0.0007,0.0017
