iterations,file_io,memory,other,sync
100,0.23,1.4700000000000002,0.2599999999999999,0.08
5000,0.0474,0.0674,0.017,0.0
10000,0.0245999999999999,0.0419,0.0139999999999999,0.001
50000,0.0,0.0,0.0,0.0
100000,0.0025099999999999,0.0031,0.00359,0.0
