metric,backend,key,value
calls_per_iter,tb_cpu,mmap,0.0042
calls_per_iter,tb_cpu,openat,0.003
calls_per_iter,tb_cpu,newfstatat,0.0016
calls_per_iter,tb_cpu,mprotect,0.0012
calls_per_iter,tb_cpu,close,0.0008
calls_per_iter,tb_cpu,fstat,0.0008
calls_per_iter,tb_cpu,read,0.0008
calls_per_iter,tb_cpu,brk,0.0006
calls_per_iter,tb_cpu,pread64,0.0004
calls_per_iter,tb_cpu,access,0.0002
calls_per_iter,tb_cpu,arch_prctl,0.0002
calls_per_iter,tb_cuda,mmap,0.0078
calls_per_iter,tb_cuda,openat,0.0044
calls_per_iter,tb_cuda,mprotect,0.0022
calls_per_iter,tb_cuda,close,0.0016
calls_per_iter,tb_cuda,fstat,0.0016
calls_per_iter,tb_cuda,read,0.0016
calls_per_iter,tb_cuda,newfstatat,0.0014
calls_per_iter,tb_cuda,brk,0.0006
calls_per_iter,tb_cuda,munmap,0.0004
calls_per_iter,tb_cuda,pread64,0.0004
calls_per_iter,tb_cuda,access,0.0002
calls_per_iter,tb_cuda,arch_prctl,0.0002
usec_per_iter,tb_cpu,access,0.0
usec_per_iter,tb_cpu,arch_prctl,0.0
usec_per_iter,tb_cpu,brk,0.0
usec_per_iter,tb_cpu,close,0.0
usec_per_iter,tb_cpu,fstat,0.0
usec_per_iter,tb_cpu,mmap,0.0
usec_per_iter,tb_cpu,mprotect,0.0
usec_per_iter,tb_cpu,newfstatat,0.0
usec_per_iter,tb_cpu,openat,0.0
usec_per_iter,tb_cpu,pread64,0.0
usec_per_iter,tb_cpu,read,0.0
usec_per_iter,tb_cuda,mmap,0.0568
usec_per_iter,tb_cuda,openat,0.0346
usec_per_iter,tb_cuda,mprotect,0.0086
usec_per_iter,tb_cuda,newfstatat,0.0074
usec_per_iter,tb_cuda,read,0.0062
usec_per_iter,tb_cuda,fstat,0.006
usec_per_iter,tb_cuda,close,0.0054
usec_per_iter,tb_cuda,munmap,0.002
usec_per_iter,tb_cuda,access,0.0012
usec_per_iter,tb_cuda,pread64,0.0012
usec_per_iter,tb_cuda,arch_prctl,0.0006
usec_per_iter,tb_cuda,brk,0.0
