backend,access,brk,close,execve,fstat,futex,getrandom,mmap,mprotect,munmap,newfstatat,openat,pread64,prlimit64,read
tb_cpu,0.0001,0.0003,0.0004,0.0001,0.0004,0.0001,0.0001,0.0021,0.0006,,0.0008,0.0015,0.0002,0.0001,0.0004
tb_cuda,0.0001,0.0003,0.0008,0.0001,0.0008,0.0002,0.0001,0.0039,0.0011,0.0002,0.0007,0.0022,0.0002,0.0001,0.0008
