backend,access,arch_prctl,brk,close,fstat,mmap,mprotect,munmap,newfstatat,openat,pread64,read
tb_cpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
tb_cuda,0.0012,0.0006,0.0,0.0054,0.006,0.0568,0.0086,0.002,0.0074,0.0346,0.0012,0.0062
