% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 25.54    0.001690         169        10         2 futex
 23.92    0.001583          98        16           munmap
 15.88    0.001051          31        33           mmap
  8.36    0.000553          30        18         5 openat
  4.84    0.000320          22        14           mprotect
  3.48    0.000230          19        12           read
  3.11    0.000206         206         1           execve
  2.92    0.000193          14        13           close
  2.77    0.000183          13        14           fstat
  2.51    0.000166         166         1           set_tid_address
  1.18    0.000078          26         3           rt_sigprocmask
  0.91    0.000060          60         1           clone3
  0.85    0.000056          28         2           pread64
  0.76    0.000050          12         4           newfstatat
  0.56    0.000037          37         1           set_robust_list
  0.38    0.000025          25         1         1 ioctl
  0.33    0.000022          11         2           lseek
  0.30    0.000020          20         1           write
  0.29    0.000019          19         1           rseq
  0.21    0.000014          14         1         1 faccessat
  0.21    0.000014           4         3           brk
  0.21    0.000014          14         1           madvise
  0.20    0.000013          13         1           prlimit64
  0.18    0.000012          12         1           getrandom
  0.14    0.000009           9         1           rt_sigaction
------ ----------- ----------- --------- --------- ----------------
100.00    0.006618          42       156         9 total
