run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,phase_type,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.18002522,3.000024,4.000032,4.000032,4.000032,2.000016,0.5225567841591053
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.96002346,3.000024,3.000024,4.000032,4.000032,2.000015,0.3475892438742456
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.9000229799999997,3.000024,3.000024,3.510028079999998,4.000032,2.000016,0.36421853163151363
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,20.4201619,20.000159,21.000167,22.020174649999994,23.000182,19.000151,0.6417501612106763
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.06002426,3.000024,4.00003155,4.000032,4.000032,2.000015,0.3730762476218288
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.8200223799999997,3.000024,3.000024,3.000024,3.000024,2.000015,0.3880910065916787
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.8000221599999997,3.000024,3.000024,3.000024,3.000024,2.000015,0.40406423010620574
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,20.38016182,20.000159,21.000167,21.51017057,22.000174,20.000158,0.5303102834689581
lc_vs_be_chunked/chunked1/naive/delay_50/r3,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r3,lc_vs_be_chunked,chunked1,naive,50,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.020024,3.000024,4.00003155,4.000032,4.000032,2.000016,0.3774271115046924
lc_vs_be_chunked/chunked1/naive/delay_50/r3,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r3,lc_vs_be_chunked,chunked1,naive,50,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.78002214,3.000024,3.000024,3.000024,3.000024,2.000015,0.41845530033518824
lc_vs_be_chunked/chunked1/naive/delay_50/r3,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r3,lc_vs_be_chunked,chunked1,naive,50,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.80002232,3.000024,3.000024,3.510028079999998,4.000032,2.000016,0.45175752934400276
lc_vs_be_chunked/chunked1/naive/delay_50/r3,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r3,lc_vs_be_chunked,chunked1,naive,50,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,20.22016076,20.000159,21.000167,22.000175,22.000175,19.00015,0.678839996198003
lc_vs_be_chunked/chunked1/naive/delay_50/r4,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r4,lc_vs_be_chunked,chunked1,naive,50,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.22002564,3.000024,4.000032,4.000032,4.000032,2.000016,0.46467390190979296
lc_vs_be_chunked/chunked1/naive/delay_50/r4,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r4,lc_vs_be_chunked,chunked1,naive,50,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.78002202,3.000024,3.000024,3.000024,3.000024,2.000015,0.4184552359580578
lc_vs_be_chunked/chunked1/naive/delay_50/r4,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r4,lc_vs_be_chunked,chunked1,naive,50,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.82002244,3.000024,3.000024,3.000024,3.000024,2.000016,0.38809098240185785
lc_vs_be_chunked/chunked1/naive/delay_50/r4,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r4,lc_vs_be_chunked,chunked1,naive,50,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,20.36016214,20.000159500000002,21.000168,22.00017551,22.000176,19.000151,0.5979605297388377
lc_vs_be_chunked/chunked1/naive/delay_50/r5,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r5,lc_vs_be_chunked,chunked1,naive,50,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.1800253,3.000024,4.000032,4.510036079999998,5.00004,2.000016,0.5225567560396318
lc_vs_be_chunked/chunked1/naive/delay_50/r5,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r5,lc_vs_be_chunked,chunked1,naive,50,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.9000231199999997,3.000024,3.000024,3.00002451,3.000025,2.000015,0.3030482281380604
lc_vs_be_chunked/chunked1/naive/delay_50/r5,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r5,lc_vs_be_chunked,chunked1,naive,50,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.74002188,3.000024,3.000024,3.000024,3.000024,2.000016,0.4430910184428016
lc_vs_be_chunked/chunked1/naive/delay_50/r5,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r5,lc_vs_be_chunked,chunked1,naive,50,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,20.2401613,20.00016,21.000168,21.510171569999997,22.000175,19.000151,0.6869091494669721
lc_vs_be_chunked/chunked1/none/delay_0/r1,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r1,lc_vs_be_chunked,chunked1,none,0,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.28002604,3.000024,4.000032,5.530044239999994,7.000056,2.000016,0.7295570207770606
lc_vs_be_chunked/chunked1/none/delay_0/r1,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r1,lc_vs_be_chunked,chunked1,none,0,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.80002226,3.000024,3.000024,3.5100275699999974,4.000031,2.000015,0.45175754741421476
lc_vs_be_chunked/chunked1/none/delay_0/r1,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r1,lc_vs_be_chunked,chunked1,none,0,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.9200231,3.000024,3.000024,3.000024,3.000024,2.000015,0.2740497794889997
lc_vs_be_chunked/chunked1/none/delay_0/r1,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r1,lc_vs_be_chunked,chunked1,none,0,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,20.54016284,20.000159,21.55017085,23.530186729999997,25.000198,19.00015,0.885490854795799
lc_vs_be_chunked/chunked1/none/delay_0/r2,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r2,lc_vs_be_chunked,chunked1,none,0,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.0600243,3.000024,3.5500278499999967,4.000032,4.000032,3.000023,0.23989981753361814
