variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,control_io,100,1000000,5000000,usec_per_iter,7.9,0.7,-1.5058286403520649
alloc,control_io,100,5000000,10000000,usec_per_iter,0.7,0.72,0.040641984497345934
alloc,file_io,100,1000000,5000000,usec_per_iter,2.9700000000000006,3.3299999999999996,0.07108714806196567
alloc,file_io,100,5000000,10000000,usec_per_iter,3.3299999999999996,7.23,1.1184734698798557
alloc,memory,100,1000000,5000000,usec_per_iter,11.42,31.59,0.632192396317612
alloc,memory,100,5000000,10000000,usec_per_iter,31.59,21.170000000000005,-0.5774466677392828
alloc,other,100,1000000,5000000,usec_per_iter,5.200000000000001,5.6,0.04604587202847816
alloc,other,100,5000000,10000000,usec_per_iter,5.6,8.96,0.6780719051126375
alloc,sync,100,1000000,5000000,usec_per_iter,250.54,267.32,0.040279810563663525
alloc,sync,100,5000000,10000000,usec_per_iter,267.32,244.05,-0.13139102756811463
alloc,control_io,5000,1000000,5000000,usec_per_iter,0.02,0.024600000000000004,0.1286251353873226
alloc,control_io,5000,5000000,10000000,usec_per_iter,0.024600000000000004,0.0126,-0.9652345818393234
alloc,file_io,5000,1000000,5000000,usec_per_iter,0.058,0.0,nan
alloc,file_io,5000,5000000,10000000,usec_per_iter,0.0,0.057,nan
alloc,memory,5000,1000000,5000000,usec_per_iter,0.2266,0.106,-0.47205751064531765
alloc,memory,5000,5000000,10000000,usec_per_iter,0.106,0.4456000000000001,2.07168496788947
alloc,other,5000,1000000,5000000,usec_per_iter,0.2504,0.0644,-0.8437392928453442
alloc,other,5000,5000000,10000000,usec_per_iter,0.0644,0.08860000000000003,0.46024601044040164
alloc,sync,5000,1000000,5000000,usec_per_iter,253.2472,232.2938,-0.0536604340790271
alloc,sync,5000,5000000,10000000,usec_per_iter,232.2938,252.662,0.12125805270404601
alloc,control_io,100000,1000000,5000000,usec_per_iter,0.00144,0.0011,-0.1673459607871714
alloc,control_io,100000,5000000,10000000,usec_per_iter,0.0011,0.00161,0.549557164589957
alloc,file_io,100000,1000000,5000000,usec_per_iter,0.00391,0.00505,0.15896908312731833
alloc,file_io,100000,5000000,10000000,usec_per_iter,0.00505,0.00036,-3.8102145761968447
alloc,memory,100000,1000000,5000000,usec_per_iter,0.03584,0.03558,-0.004523881171674907
alloc,memory,100000,5000000,10000000,usec_per_iter,0.03558,0.17591000000000004,2.3056990826711
alloc,other,100000,1000000,5000000,usec_per_iter,0.0094,0.00518,-0.37025636615166135
