% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.42    0.088504        9833         9         1 futex
  2.26    0.002160         127        17           munmap
  1.23    0.001174          33        35           mmap
  1.01    0.000965         965         1           execve
  0.88    0.000846          47        18         5 openat
  0.42    0.000400          33        12           read
  0.37    0.000351          25        14           fstat
  0.32    0.000303          21        14           mprotect
  0.27    0.000257          19        13           close
  0.17    0.000163         163         1           sched_yield
  0.13    0.000125           8        14           brk
  0.10    0.000091          22         4           newfstatat
  0.09    0.000082          82         1           clone3
  0.08    0.000073          73         1         1 faccessat
  0.05    0.000046          46         1           write
  0.05    0.000045          22         2           lseek
  0.03    0.000033          16         2           pread64
  0.03    0.000033          11         3           rt_sigprocmask
  0.02    0.000023          23         1           madvise
  0.02    0.000022          22         1           set_tid_address
  0.02    0.000017          17         1           set_robust_list
  0.02    0.000017          17         1           rt_sigaction
  0.02    0.000017          17         1           rseq
  0.01    0.000014          14         1           getrandom
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.095761         566       169         7 total
