% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 24.29    0.003336         370         9           futex
 23.52    0.003230         179        18         5 openat
 20.51    0.002817        2817         1           execve
  9.78    0.001343          40        33           mmap
  4.67    0.000642          53        12           read
  4.08    0.000561          43        13           close
  3.41    0.000468          29        16           munmap
  2.73    0.000375          26        14           mprotect
  1.97    0.000271          19        14           fstat
  1.14    0.000157         157         1           clone3
  0.79    0.000108          36         3           brk
  0.61    0.000084          21         4           newfstatat
  0.60    0.000082          82         1         1 faccessat
  0.40    0.000055          55         1           rseq
  0.32    0.000044          44         1           write
  0.29    0.000040          13         3           rt_sigprocmask
  0.28    0.000039          19         2           pread64
  0.18    0.000025          25         1           set_tid_address
  0.16    0.000022          22         1           set_robust_list
  0.14    0.000019          19         1           rt_sigaction
  0.12    0.000017          17         1           madvise
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.013735          89       154         6 total
