% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 18.95    0.001626          49        33           mmap
 13.33    0.001144          63        18         5 openat
 12.34    0.001059         117         9         1 futex
 11.86    0.001018        1018         1           execve
  8.98    0.000771          48        16           munmap
  8.48    0.000728          52        14           mprotect
  8.08    0.000693          57        12           read
  5.64    0.000484          37        13           close
  4.80    0.000412          29        14           fstat
  1.60    0.000137         137         1           clone3
  1.01    0.000087          29         3           brk
  0.87    0.000075          37         2           pread64
  0.77    0.000066          33         2           lseek
  0.54    0.000046          46         1         1 faccessat
  0.49    0.000042          42         1           prlimit64
  0.44    0.000038          38         1           rseq
  0.40    0.000034          11         3           rt_sigprocmask
  0.36    0.000031          31         1           set_robust_list
  0.33    0.000028          28         1           madvise
  0.30    0.000026          26         1           set_tid_address
  0.24    0.000021          21         1           getrandom
  0.17    0.000015          15         1           rt_sigaction
  0.00    0.000000           0         1           write
  0.00    0.000000           0         4           newfstatat
------ ----------- ----------- --------- --------- ----------------
100.00    0.008581          55       154         7 total
