iterations,control_io,file_io,memory,other,sync
100,0.01,0.48,0.67,0.3,0.1
5000,0.0002,0.0096,0.0146,0.006,0.002
10000,0.0001,0.0048,0.0081,0.003,0.0011
50000,2e-05,0.00096,0.00266,0.0006,0.00022
100000,1e-05,0.00048,0.00194,0.0003,0.0001
