run,phase_type,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_alone_warm_stability_r5,LC_DECODE_STEP,300,4.92004571,5.000046,7.000065,8.00007401,9.000084,3.000027,1.2049064579043574
lc_alone_warm_stability_r5,LC_PREFILL_SUBMISSION,300,3.07002849,3.000028,4.0000370499999995,6.000056,6.000056,2.000018,0.6375440215123583
lc_alone_warm_stability_r5,LC_PREFILL_SYNC,300,3.0100279899999998,3.000028,3.050029400000011,6.00005501,6.000056,2.000018,0.5007398942504746
lc_alone_warm_stability_r5,LC_REQUEST,300,22.81687874,22.000205,29.000269,31.01028908999999,34.000316,20.000185,2.4515029073294503
pair1_chunk1_lc_alone_after,LC_DECODE_STEP,300,4.9367154300000005,5.000049,7.000069,9.01008909999999,10.000099,2.00002,1.3853123716290416
pair1_chunk1_lc_alone_after,LC_PREFILL_SUBMISSION,300,2.9200288833333334,3.00003,4.00004,5.010050089999991,6.00006,2.000019,0.6941775008760691
pair1_chunk1_lc_alone_after,LC_PREFILL_SYNC,300,2.9266955333333335,3.00003,4.00004,6.000059,6.00006,2.000019,0.7185774753015046
pair1_chunk1_lc_alone_after,LC_REQUEST,300,22.69355763,22.000218,29.05028745000001,32.000316,34.000336,19.000187,2.6776849829226133
pair1_chunk1_lc_alone_before,LC_DECODE_STEP,300,5.100050213333334,5.000049,7.00006905,9.010089089999989,10.000099,3.000029,1.3697777414788785
pair1_chunk1_lc_alone_before,LC_PREFILL_SUBMISSION,300,3.1233640733333337,3.00003,4.000039,6.000059,6.00006,2.00002,0.5250841242195318
pair1_chunk1_lc_alone_before,LC_PREFILL_SYNC,300,3.10003048,3.00003,4.000039,6.000059,6.000059,2.000019,0.4803891858922621
pair1_chunk1_lc_alone_before,LC_REQUEST,300,22.66355632,22.000217,29.000285,31.00030501,32.000315,20.000196,2.411670959423698
pair1_chunk1_lc_vs_1_be_chunked,LC_DECODE_STEP,300,5.170050983333334,5.000049,8.000079,9.000089,9.000089,2.00002,1.5499964049693002
pair1_chunk1_lc_vs_1_be_chunked,LC_PREFILL_SUBMISSION,300,3.0566968466666666,3.00003,4.00004,6.00005901,7.000069,2.000019,0.6892375472387262
pair1_chunk1_lc_vs_1_be_chunked,LC_PREFILL_SYNC,300,3.1100306633333337,3.00003,4.00004,6.00005901,7.000069,2.000019,0.7745395184733873
pair1_chunk1_lc_vs_1_be_chunked,LC_REQUEST,300,22.98689336,23.000226,29.000286,32.00031501,34.000336,18.000177,2.8082494150983437
pair1_long4_lc_alone_after,LC_DECODE_STEP,300,5.213383533333333,5.000048,7.000068,9.000087,10.000096,3.000028,1.31667547180121
pair1_long4_lc_alone_after,LC_PREFILL_SUBMISSION,300,3.176697266666667,3.000029,4.000039,6.000058,7.000067,2.000019,0.5999965024333138
pair1_long4_lc_alone_after,LC_PREFILL_SYNC,300,3.190030736666667,3.000029,4.000039,6.000058,7.000068,3.000028,0.595894695726185
pair1_long4_lc_alone_after,LC_REQUEST,300,22.996888143333333,23.000221,30.000289,33.01031808999999,35.000337,20.000192,2.689654582278964
pair1_long4_lc_alone_before,LC_DECODE_STEP,300,4.706711633333334,5.000047,7.000067,8.000076,9.000086,3.000028,1.2379120473321623
pair1_long4_lc_alone_before,LC_PREFILL_SUBMISSION,300,2.84669385,3.000028,3.0500294500000114,6.000058,7.000067,2.000018,0.7561341954763738
pair1_long4_lc_alone_before,LC_PREFILL_SYNC,300,2.9133611766666667,3.000029,4.050039400000012,6.00005701,7.000067,2.000018,0.775352103716195
pair1_long4_lc_alone_before,LC_REQUEST,300,23.180221369999998,23.000219,31.000296,34.000325,35.000335,20.000191,2.8603662091382
pair1_long4_lc_vs_4_be_long,LC_DECODE_STEP,300,9.593425303333333,9.000086,14.05013445000001,20.01019208999999,60.000575,5.000048,3.768585190792021
pair1_long4_lc_vs_4_be_long,LC_PREFILL_SUBMISSION,300,3.00002873,3.000029,4.050039400000012,6.00005701,6.000058,2.000019,0.6987873012246956
pair1_long4_lc_vs_4_be_long,LC_PREFILL_SYNC,300,7.856742,7.000068,11.000106,12.000115,12.000116,2.000019,2.630459846063507
pair1_long4_lc_vs_4_be_long,LC_REQUEST,300,32.99031629666667,32.000307,40.05038350000001,49.00047,83.000796,24.00023,5.093480304634123
pair2_chunk1_lc_alone_after,LC_DECODE_STEP,300,4.73671375,4.00004,7.00007,8.00008,9.000089,3.000029,1.4025876228496115
pair2_chunk1_lc_alone_after,LC_PREFILL_SUBMISSION,300,3.1700315133333334,3.00003,4.050040450000012,6.00006,7.00007,2.000019,0.6995767895398566
pair2_chunk1_lc_alone_after,LC_PREFILL_SYNC,300,3.1400312233333336,3.00003,4.00004,6.00006,7.00007,2.000019,0.6338352635433044
