run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,event_count,completed_phase_count,unmatched_begin_count,unmatched_end_count,duplicate_begin_count
lc_vs_mixed/mixed4/proper/delay_10000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r1,lc_vs_mixed,mixed4,proper,10000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_10000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r2,lc_vs_mixed,mixed4,proper,10000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_10000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r3,lc_vs_mixed,mixed4,proper,10000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_100000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r1,lc_vs_mixed,mixed4,proper,100000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_100000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r2,lc_vs_mixed,mixed4,proper,100000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_100000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r3,lc_vs_mixed,mixed4,proper,100000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_25000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r1,lc_vs_mixed,mixed4,proper,25000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_25000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r2,lc_vs_mixed,mixed4,proper,25000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_25000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r3,lc_vs_mixed,mixed4,proper,25000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_5000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r1,lc_vs_mixed,mixed4,proper,5000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_5000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r2,lc_vs_mixed,mixed4,proper,5000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_5000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r3,lc_vs_mixed,mixed4,proper,5000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_50000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_50000/r1,lc_vs_mixed,mixed4,proper,50000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_50000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_50000/r2,lc_vs_mixed,mixed4,proper,50000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_50000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_50000/r3,lc_vs_mixed,mixed4,proper,50000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_72000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_72000/r1,lc_vs_mixed,mixed4,proper,72000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_72000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_72000/r2,lc_vs_mixed,mixed4,proper,72000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_72000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_72000/r3,lc_vs_mixed,mixed4,proper,72000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_87500/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_87500/r1,lc_vs_mixed,mixed4,proper,87500,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_87500/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_87500/r2,lc_vs_mixed,mixed4,proper,87500,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
lc_vs_mixed/mixed4/proper/delay_87500/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_87500/r3,lc_vs_mixed,mixed4,proper,87500,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,3620,1810,0,0,0
