run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,lc_request_count,lc_p95_ms,lc_p99_ms,mean_union_overlap_ms,p95_union_overlap_ms,mean_union_overlap_frac,mean_weighted_overlap_ms,p95_weighted_overlap_ms,mean_weighted_overlap_frac,mean_overlap_count,p95_overlap_count,mean_max_concurrent_be,p95_max_concurrent_be,duration_vs_union_overlap_corr,duration_vs_weighted_overlap_corr,slow_request_threshold_ms,slow_request_count,slow_mean_union_overlap_ms,normal_mean_union_overlap_ms,slow_mean_weighted_overlap_ms,normal_mean_weighted_overlap_ms,slow_mean_overlap_count,normal_mean_overlap_count,slow_mean_max_concurrent_be,normal_mean_max_concurrent_be
lc_vs_mixed/mixed4/proper/delay_5000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r2,lc_vs_mixed,mixed4,proper,5000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,27.00024,28.000248,23.08020496,27.00024,1.0,77.6406895,103.5509194,3.3003234878935737,3.8,5.0,3.5,4.0,0.9999999999999998,0.8979568816597162,27.00024,5,27.400243200000002,22.60020071111111,103.0009144,74.82288673333333,4,3.7777777777777777,4,3.4444444444444446
lc_vs_mixed/mixed4/proper/delay_5000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r3,lc_vs_mixed,mixed4,proper,5000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,27.00024055,27.000241,22.04019628,27.00024055,0.9980952379138338,69.3206176,100.000892,3.0692274179567547,3.72,5.0,3.32,4.0,0.9944968529557299,0.9108150323229512,27.00024055,3,27.000241,21.723597680851064,99.33421933333332,67.40485578723404,4.666666666666667,3.6595744680851063,4,3.276595744680851
lc_vs_mixed/mixed4/proper/delay_50000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_50000/r1,lc_vs_mixed,mixed4,proper,50000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,23.100204899999994,25.510226099999997,20.62018292,23.100204899999994,1.0,45.36040226,76.3506769499999,2.176173107161445,2.9,4.0,2.34,3.549999999999997,1.0000000000000002,0.8358859448997735,23.100204899999994,3,25.000221666666665,20.340605978723403,97.66753266666666,42.02164925531915,4.666666666666667,2.7872340425531914,4,2.234042553191489
lc_vs_mixed/mixed4/proper/delay_50000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_50000/r2,lc_vs_mixed,mixed4,proper,50000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.000187,21.51019108,20.20017966,21.000187,0.9931428564707543,43.00038242,57.000505,2.1130676669553705,2.82,4.0,2.3,3.0,0.832050244722556,0.24880021793274038,21.000187,16,20.8751858125,19.88252970588235,45.8754083125,41.647429058823526,2.5625,2.9411764705882355,2.3125,2.2941176470588234
lc_vs_mixed/mixed4/proper/delay_50000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_50000/r3,lc_vs_mixed,mixed4,proper,50000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,22.000196,22.000196,20.50018254,22.000196,1.0,43.2803854,54.55048539999999,2.114398268949773,2.84,4.0,2.32,3.0,1.0,0.02287939621116818,22.000196,5,22.000196,20.333514377777778,49.2004382,42.62260175555556,3.4,2.7777777777777777,2.6,2.2888888888888888
lc_vs_mixed/mixed4/proper/delay_72000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_72000/r1,lc_vs_mixed,mixed4,proper,72000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,26.000231,27.020239669999995,21.12018742,26.000231,1.0,46.80041522,98.55087275,2.1699832408371145,2.82,4.0,2.34,4.0,1.0,0.9407420098627195,26.000231,4,26.50023525,20.652357173913042,100.25088975,42.15254786956522,4,2.717391304347826,4,2.1956521739130435
lc_vs_mixed/mixed4/proper/delay_72000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_72000/r2,lc_vs_mixed,mixed4,proper,72000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.000187,21.510191589999998,20.16017944,21.000187,1.0,41.74037154,53.000472,2.0735764425723415,2.72,4.0,2.24,3.0,1.0000000000000002,-0.10462188668388124,21.000187,12,21.083521083333334,19.868597868421052,41.41703533333333,41.84247771052632,2.6666666666666665,2.736842105263158,2.0833333333333335,2.289473684210526
lc_vs_mixed/mixed4/proper/delay_72000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_72000/r3,lc_vs_mixed,mixed4,proper,72000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.00018755,22.000196,20.14017948,21.00018755,1.0,41.34036842,55.550495299999994,2.054516746769092,2.74,4.0,2.22,3.0,1.0,0.09876412634164507,21.00018755,3,21.66686,20.042731787234043,47.33375566666667,40.95781178723404,2.6666666666666665,2.74468085106383,2.3333333333333335,2.2127659574468086
lc_vs_mixed/mixed4/proper/delay_87500/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_87500/r1,lc_vs_mixed,mixed4,proper,87500,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.5501914,22.000195,20.24017956,21.5501914,1.0,39.3603491,44.5503944,1.9451913838348647,2.58,3.0,2.06,2.549999999999997,1.0000000000000002,0.28118834873823473,21.5501914,3,22.000195,20.12783814893617,42.333708333333334,39.170560212765956,2.6666666666666665,2.574468085106383,2,2.0638297872340425
lc_vs_mixed/mixed4/proper/delay_87500/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_87500/r2,lc_vs_mixed,mixed4,proper,87500,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.550192399999997,22.000196,20.380181399999998,21.550192399999997,1.0,40.360359339999995,52.55046794999999,1.978399412557543,2.64,4.0,2.1,3.0,1.0000000000000002,0.42164219550185583,21.550192399999997,3,22.000196,20.276776212765956,53.333808999999995,39.532266808510634,2.6666666666666665,2.6382978723404253,2.6666666666666665,2.0638297872340425
lc_vs_mixed/mixed4/proper/delay_87500/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_87500/r3,lc_vs_mixed,mixed4,proper,87500,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.00018755,21.51019208,20.2201803,21.00018755,0.9989999999000009,39.56035276,46.40041504999998,1.9551774889040476,2.58,4.0,2.08,2.549999999999997,0.9733633370947549,0.16209407025985043,21.00018755,3,21.333524,20.149115808510636,41.00036633333333,39.468437,2.3333333333333335,2.595744680851064,2,2.0851063829787235
