variant,control_io,file_io,memory,other,sync
alloc,0.00161,0.00036,0.17591,0.00429,239.73847
baseline,0.00099,0.006,0.11407,0.0121799999999999,0.00382
kernels,1e-05,0.03129,0.3274500000000001,0.01278,25.17502
