run,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
axis_lc_vs_1_be_long_r1,300,41.91712171333333,27.000293,37.000402,848.4292115699996,1336.014506,20.000217,121.93344106107045
axis_lc_vs_1_be_long_r2,300,26.9469593,26.000283,37.000401,41.000445,42.000457,19.000206,4.788955928183016
axis_lc_vs_1_be_long_r3,300,26.666956196666668,26.000282,35.00038,37.020402209999986,40.000434,19.000206,4.4851285941731645
axis_lc_vs_4_be_chunked_r1,300,36.75373244666667,25.000271,37.000402,261.65284133999484,1065.011564,18.000196,97.28355953477435
axis_lc_vs_4_be_chunked_r2,300,25.17360667,24.500266,33.000359,38.000413,49.000532,18.000195,4.278399309301005
axis_lc_vs_4_be_chunked_r3,300,26.0402827,24.500266,35.05038145000001,40.000435,68.000739,18.000195,5.714422284710494
pair1_chunk1_lc_alone,300,22.876915043333334,22.000239,32.000347,34.000369,37.000402,18.000195,3.920845796014854
pair1_chunk1_lc_vs_1_be_chunked,300,24.236929786666668,23.00025,32.05034850000001,37.03040232999997,42.000456,18.000195,4.0705748471181415
pair1_long4_lc_alone,300,41.803787236666665,24.000261,98.00106405,103.00111801,105.00114,19.000206,29.034224469611498
pair1_long4_lc_vs_4_be_long,300,54.11058753333333,47.00051,98.00106405,103.00111801,106.00115,29.000314,20.807139624128684
pair2_chunk1_lc_alone,300,23.803591756666666,22.000239,33.05035950000001,38.03041232999997,42.000455,19.000206,4.44946550069405
pair2_chunk1_lc_vs_1_be_chunked,300,24.24359652,23.00025,33.000358,37.000402,43.000467,19.000206,4.0363492561578
pair2_long4_lc_alone,300,39.65043052,36.000391,99.05107550000001,103.001118,104.00113,20.000217,22.394718854187957
pair2_long4_lc_vs_4_be_long,300,47.56718316,34.000369,47.05051150000001,51.020554209999986,2356.025582,23.00025,169.8463891579274
pair3_chunk1_lc_alone,300,23.64025664,22.000239,33.000358,37.00040101,41.000445,19.000206,4.092259043980633
pair3_chunk1_lc_vs_1_be_chunked,300,24.153595566666667,23.00025,32.000347,37.000402,38.000413,18.000196,3.9022528034793464
pair3_long4_lc_alone,300,22.766913836666667,22.000239,31.000336,32.010348099999995,34.000369,18.000195,3.5309182093366016
pair3_long4_lc_vs_4_be_long,300,33.62703172333333,33.000359,42.05045655000001,48.01052111999999,51.000553,24.000261,4.819253977910654
stability_lc_alone_r1,300,24.096928316666666,23.00025,33.000358,37.01040111999999,41.000445,19.000206,4.114704300857125
stability_lc_alone_r2,300,23.970260283333335,23.00025,32.05034850000001,37.03040232999997,41.000446,20.000216,3.8382103461036943
stability_lc_alone_r3,300,23.990260533333334,23.00025,33.00035805,36.020391209999985,41.000446,20.000217,3.944036207302333
stability_lc_alone_r4,300,23.66692362,22.00024,33.000358,38.010413109999995,40.000434,19.000206,4.007839698619506
stability_lc_alone_r5,300,66.93739351333333,23.00025,39.050423550000005,2145.0332921,2333.025332,20.000217,275.2279059231463
