% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.75    0.152722       16969         9         1 futex
  1.77    0.002828         166        17           munmap
  0.64    0.001013        1013         1           execve
  0.46    0.000733          20        35           mmap
  0.45    0.000713          50        14           brk
  0.25    0.000406          22        18         5 openat
  0.15    0.000245          17        14           mprotect
  0.10    0.000162         162         1           clone3
  0.09    0.000138          11        12           read
  0.09    0.000137          10        13           close
  0.06    0.000101           7        14           fstat
  0.05    0.000075          75         1         1 ioctl
  0.03    0.000052          13         4           newfstatat
  0.02    0.000039          39         1         1 faccessat
  0.02    0.000026           8         3           rt_sigprocmask
  0.02    0.000025          12         2           pread64
  0.01    0.000019          19         1           rt_sigaction
  0.01    0.000013          13         1           prlimit64
  0.01    0.000012          12         1           madvise
  0.01    0.000010          10         1           set_tid_address
  0.01    0.000010          10         1           getrandom
  0.01    0.000009           9         1           set_robust_list
  0.01    0.000009           9         1           rseq
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           write
------ ----------- ----------- --------- --------- ----------------
100.00    0.159497         943       169         8 total
