% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.29    0.443642       44364        10         1 futex
  1.00    0.004523         238        19           munmap
  0.18    0.000794          21        37           mmap
  0.10    0.000453         453         1           sched_yield
  0.09    0.000412          22        18         5 openat
  0.07    0.000301          25        12           read
  0.05    0.000242         242         1           execve
  0.05    0.000238          18        13           close
  0.05    0.000212          15        14           mprotect
  0.04    0.000200          14        14           fstat
  0.02    0.000070          70         1         1 ioctl
  0.01    0.000057          28         2           pread64
  0.01    0.000057           0        62           brk
  0.01    0.000049          12         4           newfstatat
  0.01    0.000032          16         2           lseek
  0.00    0.000022          22         1           set_robust_list
  0.00    0.000021          21         1         1 faccessat
  0.00    0.000017          17         1           write
  0.00    0.000016          16         1           set_tid_address
  0.00    0.000010          10         1           rseq
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         3           rt_sigprocmask
  0.00    0.000000           0         1           madvise
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           clone3
------ ----------- ----------- --------- --------- ----------------
100.00    0.451368        2024       223         8 total
