% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 97.78    0.570878       63430         9           futex
  1.48    0.008652         455        19           munmap
  0.15    0.000895          24        37           mmap
  0.14    0.000789          12        62           brk
  0.09    0.000515          36        14           fstat
  0.08    0.000491          27        18         5 openat
  0.06    0.000341          28        12           read
  0.05    0.000300         300         1           execve
  0.04    0.000221          15        14           mprotect
  0.03    0.000194         194         1         1 ioctl
  0.03    0.000192          14        13           close
  0.02    0.000093          93         1           clone3
  0.01    0.000067          16         4           newfstatat
  0.01    0.000033          16         2           lseek
  0.01    0.000032          10         3           rt_sigprocmask
  0.01    0.000031          15         2           pread64
  0.00    0.000027          27         1         1 faccessat
  0.00    0.000023          23         1           sched_yield
  0.00    0.000018          18         1           madvise
  0.00    0.000016          16         1           rt_sigaction
  0.00    0.000016          16         1           rseq
  0.00    0.000012          12         1           set_robust_list
  0.00    0.000011          11         1           set_tid_address
  0.00    0.000009           9         1           write
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.583856        2629       222         7 total
