backend,variant,key,bytes,vary_x1,vary_x2,metric,y1,y2,elasticity
tb_cpu,alloc,set_tid_address,1000000,100,5000,usec_per_iter,0.0,0.0008,nan
tb_cpu,alloc,set_tid_address,1000000,5000,10000,usec_per_iter,0.0008,0.0,nan
tb_cpu,alloc,set_tid_address,1000000,10000,50000,usec_per_iter,0.0,8e-05,nan
tb_cpu,alloc,set_tid_address,1000000,50000,100000,usec_per_iter,8e-05,4e-05,-1.0
tb_cpu,alloc,access,5000000,100,5000,usec_per_iter,0.14,0.0012,-1.2165881589171463
tb_cpu,alloc,access,5000000,5000,10000,usec_per_iter,0.0012,0.0,nan
tb_cpu,alloc,access,5000000,10000,50000,usec_per_iter,0.0,0.00014,nan
tb_cpu,alloc,access,5000000,50000,100000,usec_per_iter,0.00014,0.0,nan
tb_cpu,alloc,arch_prctl,5000000,100,5000,usec_per_iter,0.04,0.0006,-1.0735379296217347
tb_cpu,alloc,arch_prctl,5000000,5000,10000,usec_per_iter,0.0006,0.0004,-0.5849625007211552
tb_cpu,alloc,arch_prctl,5000000,10000,50000,usec_per_iter,0.0004,6e-05,-1.178746921660802
tb_cpu,alloc,arch_prctl,5000000,50000,100000,usec_per_iter,6e-05,0.0,nan
tb_cpu,alloc,brk,5000000,100,5000,usec_per_iter,0.06,0.003,-0.7657757302033369
tb_cpu,alloc,brk,5000000,5000,10000,usec_per_iter,0.003,0.0011,-1.4474589769712205
tb_cpu,alloc,brk,5000000,10000,50000,usec_per_iter,0.0011,0.0003,-0.807289907918993
tb_cpu,alloc,brk,5000000,50000,100000,usec_per_iter,0.0003,0.00011,-1.4474589769712216
tb_cpu,alloc,close,5000000,100,5000,usec_per_iter,0.15,0.0026,-1.0365797551400167
tb_cpu,alloc,close,5000000,5000,10000,usec_per_iter,0.0026,0.0016,-0.7004397181410911
tb_cpu,alloc,close,5000000,10000,50000,usec_per_iter,0.0016,0.00038,-0.8932234318584226
tb_cpu,alloc,close,5000000,50000,100000,usec_per_iter,0.00038,0.0,nan
tb_cpu,alloc,execve,5000000,100,5000,usec_per_iter,2.62,0.050199999999999995,-1.0109640369112858
tb_cpu,alloc,execve,5000000,5000,10000,usec_per_iter,0.050199999999999995,0.0,nan
tb_cpu,alloc,execve,5000000,10000,50000,usec_per_iter,0.0,0.00538,nan
tb_cpu,alloc,execve,5000000,50000,100000,usec_per_iter,0.00538,0.0,nan
tb_cpu,alloc,fstat,5000000,100,5000,usec_per_iter,0.17,0.003,-1.0319944802932743
tb_cpu,alloc,fstat,5000000,5000,10000,usec_per_iter,0.003,0.0012,-1.3219280948873622
tb_cpu,alloc,fstat,5000000,10000,50000,usec_per_iter,0.0012,0.0003,-0.8613531161467861
tb_cpu,alloc,fstat,5000000,50000,100000,usec_per_iter,0.0003,0.0,nan
tb_cpu,alloc,futex,5000000,100,5000,usec_per_iter,0.0,0.0008,nan
tb_cpu,alloc,futex,5000000,5000,10000,usec_per_iter,0.0008,0.0004,-1.0
tb_cpu,alloc,futex,5000000,10000,50000,usec_per_iter,0.0004,6e-05,-1.178746921660802
