backend,variant,bytes,iterations,key,calls_mean,seconds_mean,pct_time_mean,calls_per_iter,usec_per_iter,usec_per_call,calls_per_byte,usec_per_byte
tb_cpu,alloc,7500000,50000,arch_prctl,1.0,3e-06,1.15,2e-05,6e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,50000,brk,3.0,7e-06,2.69,6e-05,0.00014,2.3333333333333335,4e-07,9.333333333333333e-07
tb_cpu,alloc,7500000,50000,close,4.0,1.1e-05,4.23,8e-05,0.00022,2.75,5.333333333333333e-07,1.4666666666666667e-06
tb_cpu,alloc,7500000,50000,execve,1.0,0.0,0.0,2e-05,0.0,0.0,1.3333333333333334e-07,0.0
tb_cpu,alloc,7500000,50000,fstat,4.0,8e-06,3.08,8e-05,0.00016,2.0,5.333333333333333e-07,1.0666666666666667e-06
tb_cpu,alloc,7500000,50000,futex,1.0,3e-06,1.15,2e-05,6e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,50000,getrandom,1.0,4e-06,1.54,2e-05,8e-05,4.0,1.3333333333333334e-07,5.333333333333333e-07
tb_cpu,alloc,7500000,50000,mmap,21.0,0.000127,48.85,0.00042,0.00254,6.0476190476190474,2.8e-06,1.6933333333333333e-05
tb_cpu,alloc,7500000,50000,mprotect,6.0,4.4e-05,16.92,0.00012,0.00088,7.333333333333333,8e-07,5.866666666666667e-06
tb_cpu,alloc,7500000,50000,newfstatat,8.0,0.0,0.0,0.00016,0.0,0.0,1.0666666666666667e-06,0.0
tb_cpu,alloc,7500000,50000,openat,15.0,3.2e-05,12.31,0.0003,0.00064,2.1333333333333333,2e-06,4.266666666666667e-06
tb_cpu,alloc,7500000,50000,pread64,2.0,0.0,0.0,4e-05,0.0,0.0,2.6666666666666667e-07,0.0
tb_cpu,alloc,7500000,50000,prlimit64,1.0,3e-06,1.15,2e-05,6e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,50000,read,4.0,9e-06,3.46,8e-05,0.00018,2.25,5.333333333333333e-07,1.2e-06
tb_cpu,alloc,7500000,50000,rseq,1.0,3e-06,1.15,2e-05,6e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,50000,set_robust_list,1.0,3e-06,1.15,2e-05,6e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,50000,set_tid_address,1.0,3e-06,1.15,2e-05,6e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,100000,access,1.0,0.0,0.0,1e-05,0.0,0.0,1.3333333333333334e-07,0.0
tb_cpu,alloc,7500000,100000,arch_prctl,1.0,4e-06,1.02,1e-05,4e-05,4.0,1.3333333333333334e-07,5.333333333333333e-07
tb_cpu,alloc,7500000,100000,brk,3.0,1.1e-05,2.81,3e-05,0.00011,3.6666666666666665,4e-07,1.4666666666666667e-06
tb_cpu,alloc,7500000,100000,close,4.0,1.5e-05,3.84,4e-05,0.00015,3.75,5.333333333333333e-07,2e-06
tb_cpu,alloc,7500000,100000,execve,1.0,0.0,0.0,1e-05,0.0,0.0,1.3333333333333334e-07,0.0
tb_cpu,alloc,7500000,100000,fstat,4.0,1.6e-05,4.09,4e-05,0.00016,4.0,5.333333333333333e-07,2.1333333333333334e-06
tb_cpu,alloc,7500000,100000,futex,1.0,3e-06,0.77,1e-05,3e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,100000,getrandom,1.0,4e-06,1.02,1e-05,4e-05,4.0,1.3333333333333334e-07,5.333333333333333e-07
tb_cpu,alloc,7500000,100000,mmap,21.0,0.000165,42.2,0.00021,0.00165,7.857142857142857,2.8e-06,2.2e-05
tb_cpu,alloc,7500000,100000,mprotect,6.0,4.2e-05,10.74,6e-05,0.00042,7.0,8e-07,5.6e-06
tb_cpu,alloc,7500000,100000,newfstatat,8.0,2.6e-05,6.65,8e-05,0.00026,3.25,1.0666666666666667e-06,3.466666666666667e-06
tb_cpu,alloc,7500000,100000,openat,15.0,6.7e-05,17.14,0.00015,0.00067,4.466666666666667,2e-06,8.933333333333333e-06
tb_cpu,alloc,7500000,100000,pread64,2.0,8e-06,2.05,2e-05,8e-05,4.0,2.6666666666666667e-07,1.0666666666666667e-06
tb_cpu,alloc,7500000,100000,prlimit64,1.0,3e-06,0.77,1e-05,3e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,100000,read,4.0,1.8e-05,4.6,4e-05,0.00018,4.5,5.333333333333333e-07,2.4e-06
tb_cpu,alloc,7500000,100000,rseq,1.0,3e-06,0.77,1e-05,3e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,100000,set_robust_list,1.0,3e-06,0.77,1e-05,3e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,7500000,100000,set_tid_address,1.0,3e-06,0.77,1e-05,3e-05,3.0,1.3333333333333334e-07,4e-07
tb_cpu,alloc,10000000,100,access,1.0,7e-06,1.41,0.01,0.07,7.0,1e-07,7e-07
tb_cpu,alloc,10000000,100,arch_prctl,1.0,4e-06,0.81,0.01,0.04,4.0,1e-07,4e-07
tb_cpu,alloc,10000000,100,brk,3.0,0.0,0.0,0.03,0.0,0.0,3e-07,0.0
tb_cpu,alloc,10000000,100,close,4.0,1.5e-05,3.03,0.04,0.15,3.75,4e-07,1.5e-06
tb_cpu,alloc,10000000,100,execve,1.0,0.0,0.0,0.01,0.0,0.0,1e-07,0.0
tb_cpu,alloc,10000000,100,fstat,4.0,1.7e-05,3.43,0.04,0.17,4.25,4e-07,1.7e-06
tb_cpu,alloc,10000000,100,futex,1.0,0.0,0.0,0.01,0.0,0.0,1e-07,0.0
tb_cpu,alloc,10000000,100,getrandom,1.0,0.0,0.0,0.01,0.0,0.0,1e-07,0.0
tb_cpu,alloc,10000000,100,mmap,21.0,0.000219,44.24,0.21,2.19,10.428571428571429,2.1e-06,2.19e-05
tb_cpu,alloc,10000000,100,mprotect,6.0,2e-05,4.04,0.06,0.2,3.3333333333333335,6e-07,2e-06
tb_cpu,alloc,10000000,100,newfstatat,8.0,5.3e-05,10.71,0.08,0.53,6.625,8e-07,5.3e-06
tb_cpu,alloc,10000000,100,openat,15.0,0.000119,24.04,0.15,1.19,7.933333333333334,1.5e-06,1.19e-05
tb_cpu,alloc,10000000,100,pread64,2.0,1e-05,2.02,0.02,0.1,5.0,2e-07,1e-06
tb_cpu,alloc,10000000,100,prlimit64,1.0,0.0,0.0,0.01,0.0,0.0,1e-07,0.0
tb_cpu,alloc,10000000,100,read,4.0,2e-05,4.04,0.04,0.2,5.0,4e-07,2e-06
tb_cpu,alloc,10000000,100,rseq,1.0,4e-06,0.81,0.01,0.04,4.0,1e-07,4e-07
tb_cpu,alloc,10000000,100,set_robust_list,1.0,3e-06,0.61,0.01,0.03,3.0,1e-07,3e-07
tb_cpu,alloc,10000000,100,set_tid_address,1.0,4e-06,0.81,0.01,0.04,4.0,1e-07,4e-07
tb_cpu,alloc,10000000,5000,access,1.0,0.0,0.0,0.0002,0.0,0.0,1e-07,0.0
tb_cpu,alloc,10000000,5000,arch_prctl,1.0,0.0,0.0,0.0002,0.0,0.0,1e-07,0.0
tb_cpu,alloc,10000000,5000,brk,3.0,0.0,0.0,0.0006,0.0,0.0,3e-07,0.0
