backend,variant,key,E_iters_mean,E_bytes_mean,class
tb_cpu,alloc,access,-1.2165881589171463,-0.44966028678679076,mixed
tb_cpu,alloc,arch_prctl,-1.063071212820634,0.5117375196838642,mixed
tb_cpu,alloc,brk,-0.8752421916282902,-0.3507538892989768,mixed
tb_cpu,alloc,close,-0.9075607262848826,0.4343767390936589,mixed
tb_cpu,alloc,execve,-1.0109640369112858,0.06783973574982946,mixed
tb_cpu,alloc,fstat,-1.1794440079641517,0.5422600668033315,mixed
tb_cpu,alloc,futex,-1.0595823072202672,-0.1858309835500801,mixed
tb_cpu,alloc,getrandom,-1.0,-0.06438561897747244,mixed
tb_cpu,alloc,mmap,-1.029169092005087,0.3427266393328815,mixed
tb_cpu,alloc,mprotect,-0.9193735018472114,-0.37928246250346215,mixed
tb_cpu,alloc,newfstatat,-1.045106186005735,-0.323155457242082,mixed
tb_cpu,alloc,openat,-1.5381546195835627,0.37572259587938533,mixed
tb_cpu,alloc,pread64,-1.0280281489655925,0.3394415072733497,mixed
tb_cpu,alloc,prlimit64,-1.078763525872681,0.0,mixed
tb_cpu,alloc,read,-1.227934523223043,0.45116733516099533,mixed
tb_cpu,alloc,rseq,-0.9553132695847996,0.35475564567572887,mixed
tb_cpu,alloc,set_robust_list,-1.0446867304152005,0.35475564567572887,mixed
tb_cpu,alloc,set_tid_address,-0.9553132695847996,0.4729436282741983,mixed
tb_cpu,baseline,access,-0.9999999999999999,0.3801823553856501,mixed
tb_cpu,baseline,arch_prctl,-0.9632310351891324,0.48315437478957096,mixed
tb_cpu,baseline,brk,-0.9518149254357477,0.10812383852682099,mixed
tb_cpu,baseline,close,-0.647043582519942,0.23001314691148483,mixed
tb_cpu,baseline,execve,nan,-0.10724748213880471,mixed
tb_cpu,baseline,fstat,-0.35383696775030066,0.08518975289276616,mixed
tb_cpu,baseline,futex,-0.7543448019445972,0.28571428571428564,mixed
tb_cpu,baseline,getrandom,-0.7978709283722104,0.22660647190078517,mixed
tb_cpu,baseline,mmap,-0.5165454133844944,-0.16017811032553436,mixed
tb_cpu,baseline,mprotect,-1.149097959950192,0.3148167151366232,mixed
tb_cpu,baseline,newfstatat,-0.9390568452398695,-1.2791904188727174,mixed
tb_cpu,baseline,openat,-0.3262380392997461,-0.27963646283234955,mixed
tb_cpu,baseline,pread64,-0.9429595503388946,0.1251732883043377,mixed
tb_cpu,baseline,prlimit64,-0.9999999999999996,0.38650374398962656,mixed
tb_cpu,baseline,read,-0.34033468564912744,0.011097457487492324,mixed
tb_cpu,baseline,rseq,-0.9330095899911561,0.08575453149796623,mixed
tb_cpu,baseline,set_robust_list,-0.9632310351891324,0.17394530748888956,mixed
tb_cpu,baseline,set_tid_address,-0.9330095899911561,0.06592459055586462,mixed
tb_cpu,kernels,access,nan,nan,unknown
tb_cpu,kernels,arch_prctl,-0.9960411171978336,-3.700743415417188e-17,mixed
tb_cpu,kernels,brk,-0.9995620142594657,0.35223642338432115,mixed
tb_cpu,kernels,close,-1.1715274867810497,-0.38505160837016356,mixed
tb_cpu,kernels,execve,nan,nan,unknown
tb_cpu,kernels,fstat,-1.1014882892429303,0.10122303284111629,mixed
tb_cpu,kernels,futex,-1.0038886072372648,0.00782658433576186,mixed
tb_cpu,kernels,getrandom,-0.992198719232924,0.12607846622767158,mixed
tb_cpu,kernels,mmap,-1.0745421319283537,-0.3469737523110781,mixed
tb_cpu,kernels,mprotect,-1.0233362660645087,0.02607434931698067,mixed
tb_cpu,kernels,newfstatat,-1.280834147282811,nan,mixed
tb_cpu,kernels,openat,-0.9662838523275474,0.4421621455478901,mixed
tb_cpu,kernels,pread64,-1.1804390003485032,0.11498590130048054,mixed
tb_cpu,kernels,prlimit64,-0.9753531471643888,0.007826584335761944,mixed
tb_cpu,kernels,read,-0.969034192034131,0.3396167056776868,mixed
tb_cpu,kernels,rseq,-1.003013220517887,-0.0032483259906096185,mixed
tb_cpu,kernels,set_robust_list,-1.0295363222022555,-0.10140625668148051,mixed
tb_cpu,kernels,set_tid_address,-1.0203440809995388,-0.0032483259906096185,mixed
tb_cuda,alloc,access,-0.863373951013934,0.6445116387974603,mixed
tb_cuda,alloc,arch_prctl,-0.8615343717571569,0.23782757055416373,mixed
tb_cuda,alloc,brk,-0.8739813932256763,0.14803050075806584,mixed
tb_cuda,alloc,close,-0.8401670690617412,0.3019984109610238,mixed
tb_cuda,alloc,execve,-1.0228818382975398,0.8741195780196317,mixed
tb_cuda,alloc,fstat,-0.8564164948388192,0.27245844261579105,mixed
tb_cuda,alloc,futex,-0.887788146198008,0.28163410906724823,mixed
tb_cuda,alloc,getrandom,-0.8799774638157736,0.12274826773560699,mixed
tb_cuda,alloc,mmap,-0.8780975835233283,0.26323208511947205,mixed
tb_cuda,alloc,mprotect,-0.8876063803141521,0.30536554452128667,mixed
tb_cuda,alloc,munmap,-0.9019289677761726,0.4832200955955969,mixed
tb_cuda,alloc,newfstatat,-0.7956072406266359,0.13094681564723834,mixed
tb_cuda,alloc,openat,-0.8382216708889264,0.37900029344496117,mixed
tb_cuda,alloc,pread64,-0.773038659616493,0.10221747413739446,mixed
tb_cuda,alloc,prlimit64,-0.9244311635365453,0.2790543613102741,mixed
tb_cuda,alloc,read,-0.8908408622599958,0.31001957137446584,mixed
tb_cuda,alloc,rseq,-0.8330952883539897,0.34872569455653163,mixed
tb_cuda,alloc,set_robust_list,-0.8542627652123614,0.24866757028390615,mixed
tb_cuda,alloc,set_tid_address,-0.881679216167596,0.1592438649646675,mixed
