run,lc_request_count,lc_p95_ms,lc_p99_ms,mean_union_overlap_ms,p95_union_overlap_ms,mean_union_overlap_frac,mean_weighted_overlap_ms,p95_weighted_overlap_ms,mean_weighted_overlap_frac,mean_overlap_count,p95_overlap_count,mean_max_concurrent_be,p95_max_concurrent_be,duration_vs_union_overlap_corr,duration_vs_weighted_overlap_corr,slow_request_threshold_ms,slow_request_count,slow_mean_union_overlap_ms,normal_mean_union_overlap_ms,slow_mean_weighted_overlap_ms,normal_mean_weighted_overlap_ms,slow_mean_overlap_count,normal_mean_overlap_count,slow_mean_max_concurrent_be,normal_mean_max_concurrent_be
axis_lc_vs_1_be_long_warm_r1,300,26.000276,28.00029601,14.196816893333333,26.000275,0.5925650746095039,14.196816893333335,26.000275,0.5925650746095039,0.7033333333333334,2.0,0.61,1.0,0.7704221823802966,0.7704221823802966,26.000276,18,26.278055944444446,13.425673975177306,26.278055944444446,13.425673975177306,1.1666666666666667,0.6737588652482269,1,0.5851063829787234
axis_lc_vs_1_be_long_warm_r2,300,26.05027645000001,27.01028609999999,14.226817276666667,26.000276,0.5914818744930075,14.226817276666667,26.000276,0.5914818744930075,0.7066666666666667,2.0,0.61,1.0,0.794292397977008,0.794292397977008,26.05027645000001,15,27.000285866666665,13.55452945614035,27.000285866666665,13.55452945614035,1.0666666666666667,0.6877192982456141,1,0.5894736842105263
axis_lc_vs_1_be_long_warm_r3,300,26.000276,28.00029601,14.263484383333333,26.000275,0.5942090425140145,14.263484383333333,26.000275,0.5942090425140145,0.7166666666666667,2.0,0.6133333333333333,1.0,0.7745896604542176,0.7745896604542176,26.000276,18,25.722494611111113,13.532058198581561,25.722494611111113,13.532058198581561,1.3333333333333333,0.6773049645390071,1,0.5886524822695035
axis_lc_vs_4_be_chunked_warm_r1,300,25.000264,25.000265,18.290193613333333,25.000264,0.83,70.29074406,96.001016,3.186605003289803,3.683333333333333,6.0,3.26,4.0,0.33958900510648077,0.35868542670588743,25.000264,16,25.000264625,17.912161443661972,96.5010214375,68.81410871478873,4.25,3.6514084507042255,3.9375,3.221830985915493
axis_lc_vs_4_be_chunked_warm_r2,300,25.000265,26.000276,18.410194943333334,25.000265,0.8248484848622588,70.47407953,98.0010352,3.156402821000599,3.6766666666666667,5.050000000000011,3.2333333333333334,4.0,0.46860390690309683,0.46002293927881877,25.000265,19,25.421322052631577,17.93613296797153,98.47472778947368,68.58079726334519,4.473684210526316,3.622775800711744,3.9473684210526314,3.185053380782918
axis_lc_vs_4_be_chunked_warm_r3,300,25.000264,25.01026509999999,18.170192433333334,24.050255450000012,0.8296491228531852,69.08739831666666,96.001016,3.157117892267299,3.6566666666666667,6.0,3.2333333333333334,4.0,0.4135116097906519,0.3680615227301072,25.000264,16,23.62525025,17.862865232394366,81.00085775,68.41621750352112,3.5,3.665492957746479,3.25,3.232394366197183
pair1_chunk1_lc_vs_1_be_chunked,300,23.000243,24.01025410999999,16.263505226666666,23.000243,0.7578891807816489,16.263505226666666,23.000243,0.7578891807816489,0.8833333333333333,2.0,0.7766666666666666,1.0,0.183977676082517,0.183977676082517,23.000243,30,19.766875633333335,15.874241848148149,19.766875633333335,15.874241848148149,1,0.8703703703703703,0.8666666666666667,0.7666666666666667
pair1_long4_lc_vs_4_be_long,300,32.000337,33.000348,27.266954113333334,32.000337,1.0,107.87447054,128.001348,3.9557161367381006,4.336666666666667,5.0,4,4.0,1.0,0.9880089705504188,32.000337,18,32.444786444444446,26.936454177304967,129.16802827777778,106.51530728014184,4.222222222222222,4.343971631205674,4,4
pair2_chunk1_lc_vs_1_be_chunked,300,23.000244,24.000254,16.220171533333335,23.000244,0.7591818338326599,16.220171533333335,23.000244,0.7591818338326599,0.8833333333333333,2.0,0.78,1.0,0.27263661425503166,0.27263661425503166,23.000244,17,23.470836764705883,15.784619204946997,23.470836764705883,15.784619204946997,1.0588235294117647,0.872791519434629,1,0.7667844522968198
pair2_long4_lc_vs_4_be_long,300,32.000338,32.01033809999999,27.643625073333332,32.000338,1.0,109.38448772666666,124.001308,3.9579617645462744,4.33,5.050000000000011,4,4.0,1.0,0.9873265879863596,32.000338,16,32.3128413125,27.380570637323945,126.9388409375,108.39551008098591,4.625,4.313380281690141,4,4
pair3_chunk1_lc_vs_1_be_chunked,300,23.000243,24.000254,16.14350416,23.000243,0.7546364892054427,16.14350416,23.000243,0.7546364892054427,0.9,2.0,0.7766666666666666,1.0,0.23556851722881475,0.23556851722881475,23.000243,31,18.38729119354839,15.88492647211896,18.38729119354839,15.88492647211896,0.8709677419354839,0.9033457249070632,0.8064516129032258,0.7732342007434945
pair3_long4_lc_vs_4_be_long,300,31.000327,33.000349,26.996951733333333,31.000327,1.0,106.88779533,121.00127699999999,3.9589758793778964,4.293333333333333,5.0,4,4.0,1.0,0.9885594884039691,31.000327,18,31.7781135,26.69177119503546,125.27910122222222,105.71388218794326,4.5,4.280141843971631,4,4
