% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.96   11.444607         228     49999      3573 futex
  0.02    0.002155         215        10           munmap
  0.01    0.000869          96         9           sched_yield
  0.00    0.000420          20        21           mmap
  0.00    0.000259          43         6           fstat
  0.00    0.000189          18        10           mprotect
  0.00    0.000142          28         5           openat
  0.00    0.000111          37         3           rt_sigprocmask
  0.00    0.000110         110         1         1 ioctl
  0.00    0.000068          17         4           read
  0.00    0.000046          15         3           brk
  0.00    0.000041          41         1           clone3
  0.00    0.000038           7         5           close
  0.00    0.000033          33         1           set_robust_list
  0.00    0.000032          32         1           write
  0.00    0.000025          12         2           pread64
  0.00    0.000014          14         1           madvise
  0.00    0.000012          12         1           set_tid_address
  0.00    0.000012          12         1           getrandom
  0.00    0.000011          11         1           rt_sigaction
  0.00    0.000010          10         1           rseq
  0.00    0.000009           9         1           prlimit64
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00   11.449213         228     50089      3575 total
