variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,prlimit64,100,1000000,5000000,usec_per_iter,0.15,0.27,0.3652123889719704
alloc,prlimit64,100,5000000,10000000,usec_per_iter,0.27,0.0,nan
alloc,read,100,1000000,5000000,usec_per_iter,0.71,0.87,0.126272806203445
alloc,read,100,5000000,10000000,usec_per_iter,0.87,1.98,1.186413124230881
alloc,rseq,100,1000000,5000000,usec_per_iter,0.16,0.14,-0.08296771909801147
alloc,rseq,100,5000000,10000000,usec_per_iter,0.14,0.1,-0.4854268271702414
alloc,rt_sigaction,100,1000000,5000000,usec_per_iter,0.21,0.18,-0.09577920256278913
alloc,rt_sigaction,100,5000000,10000000,usec_per_iter,0.18,0.0,nan
alloc,rt_sigprocmask,100,1000000,5000000,usec_per_iter,0.64,2.21,0.7700077204493114
alloc,rt_sigprocmask,100,5000000,10000000,usec_per_iter,2.21,0.0,nan
alloc,set_robust_list,100,1000000,5000000,usec_per_iter,0.14,0.12,-0.09577920256278913
alloc,set_robust_list,100,5000000,10000000,usec_per_iter,0.12,0.13,0.1154772174199359
alloc,set_tid_address,100,1000000,5000000,usec_per_iter,0.21,0.19,-0.06218534917300232
alloc,set_tid_address,100,5000000,10000000,usec_per_iter,0.19,0.13,-0.5474877953024933
alloc,write,100,1000000,5000000,usec_per_iter,0.14,0.17,0.12063591452702732
alloc,write,100,5000000,10000000,usec_per_iter,0.17,0.1,-0.7655347463629768
alloc,brk,5000,1000000,5000000,usec_per_iter,0.0064,0.0054,-0.10556420690900899
alloc,brk,5000,5000000,10000000,usec_per_iter,0.0054,0.0046,-0.23132554610645573
alloc,clone3,5000,1000000,5000000,usec_per_iter,0.0106,0.0086,-0.12991603853939962
alloc,clone3,5000,5000000,10000000,usec_per_iter,0.0086,0.025,1.5395195299599895
alloc,close,5000,1000000,5000000,usec_per_iter,0.013,0.0,nan
alloc,close,5000,5000000,10000000,usec_per_iter,0.0,0.0108,nan
alloc,execve,5000,1000000,5000000,usec_per_iter,0.1674,0.0,nan
