variant,key,E_iters_mean,E_bytes_mean,class
alloc,brk,-1.0531605733460738,0.307162678812067,mixed
alloc,clone3,-1.0448909833130962,0.5642424343490703,mixed
alloc,close,-0.9701927148288907,0.88098815843106,mixed
alloc,execve,-1.2369647367443846,nan,mixed
alloc,faccessat,-1.1427671437738018,-0.341036917835066,mixed
alloc,fstat,-0.8105650586471255,0.4162126340089907,mixed
alloc,futex,-0.0039929643956609666,-0.03717224207606169,mostly_constant
alloc,getrandom,-0.9980704035436799,0.049427270840123404,mixed
alloc,ioctl,-0.9394120085133297,-0.19287175015301708,mixed
alloc,madvise,-0.9722600422306494,0.6629019792566699,mixed
alloc,mmap,-1.0570339533748878,0.46250787392900766,mixed
alloc,mprotect,-1.020877246860781,0.4879066442800127,mixed
alloc,munmap,-0.6956310289332884,0.2996291911428466,mixed
alloc,openat,-1.0189260511941363,1.1476979475970626,mixed
alloc,pread64,-0.8359946029179529,0.936419201650161,mixed
alloc,prlimit64,-0.9629840264383692,-0.11033439944520179,mixed
alloc,read,-0.9146945594083116,0.7916549330758257,mixed
alloc,rseq,-0.9409942164670073,0.4277519451840502,mixed
alloc,rt_sigaction,-1.011838140950285,0.38883746115660517,mixed
alloc,rt_sigprocmask,-0.9869938837353575,0.6880969167502909,mixed
alloc,sched_yield,0.12219446120395827,0.8413812714314836,byte_scaled
alloc,set_robust_list,-1.0354823562457443,0.4574036042899367,mixed
alloc,set_tid_address,-1.0216735757971067,0.12107777027559823,mixed
alloc,write,-1.0646831117931208,0.3492898337940336,mixed
baseline,brk,-0.965222274263812,0.05438292636551422,mixed
baseline,clone3,-1.0301263424803457,0.46870358327340284,mixed
baseline,close,-0.9665667471894658,0.3894570079512972,mixed
baseline,execve,-1.002696947677879,1.0738490298872652,mixed
baseline,faccessat,-1.079790599591501,1.62148837674627,mixed
baseline,fstat,-0.9563315105281286,0.3900540045417269,mixed
baseline,futex,-0.986018222747621,0.09890148268094377,mixed
baseline,getrandom,-1.0340202883686653,-0.3854559523871182,mixed
baseline,ioctl,-0.9900212366973428,-0.18959821139710942,mixed
baseline,madvise,-0.9725399289514215,-0.31572966097986965,mixed
baseline,mmap,-0.9984454144701361,0.11479666452390004,mixed
baseline,mprotect,-0.9783642492241279,0.2311566643362906,mixed
baseline,munmap,-0.8392370544718993,1.043197728072012,mixed
baseline,openat,-1.0314918978157863,0.6214264142432602,mixed
baseline,pread64,-0.8964829796684595,0.26150977003727266,mixed
baseline,prlimit64,-1.0119733730168192,-0.17759757870472273,mixed
baseline,read,-0.9404697546511667,0.32859832587243193,mixed
baseline,rseq,-0.9328971684519102,0.061376155022620005,mixed
baseline,rt_sigaction,-0.9174979186772174,-0.31800431948054353,mixed
baseline,rt_sigprocmask,-1.0401508442019236,0.5558611677583962,mixed
baseline,set_robust_list,-0.9849391332884913,0.18176952333444543,mixed
baseline,set_tid_address,-0.9785926248175904,-0.007822178127528024,mixed
baseline,write,-1.0596691166429795,0.5178871464154767,mixed
kernels,brk,-0.42599546090756246,0.050017483613928805,mixed
kernels,clone3,-1.0676741849728504,0.52039098700654,mixed
kernels,close,-0.9745028364476389,-0.11564440575019297,mixed
kernels,execve,-1.0252366197319747,0.9165572811705323,mixed
kernels,faccessat,-1.0055875021374066,-0.179422420164552,mixed
kernels,fstat,-0.9721048771310296,-0.008671254399610438,mixed
kernels,futex,-0.02059721305198087,1.2282892219729455,byte_scaled
kernels,getrandom,-0.889717974893364,0.405838386958879,mixed
kernels,ioctl,-0.9878766555500991,0.7032330672676917,mixed
kernels,lseek,-0.8669564159577691,-0.09051637656958285,mixed
kernels,madvise,-1.0056722450262356,-0.0988249896913641,mixed
kernels,mmap,-0.968657513287352,0.04316115617328728,mixed
kernels,mprotect,-0.9463104697027823,0.09602603846813192,mixed
kernels,munmap,-0.6933567662775628,0.7209137542595568,mixed
kernels,newfstatat,-1.0440615808042872,-0.21111432004619846,mixed
kernels,openat,-1.0261817252413805,-0.001832871198901501,mixed
kernels,pread64,-1.0055098189985747,-0.29464088299493363,mixed
kernels,prlimit64,-0.8866568389124243,0.023924752713434427,mixed
kernels,read,-1.001059359835769,0.06930408655380582,mixed
kernels,rseq,-1.012972932247312,-0.5077212874799937,mixed
kernels,rt_sigaction,-1.044192604659872,0.16981989685939372,mixed
kernels,rt_sigprocmask,-0.9058117153382762,-0.42709471520002285,mixed
kernels,sched_yield,-0.9222353885862395,-0.0431762393322247,mixed
kernels,set_robust_list,-0.9871478113049355,-0.3273878367905668,mixed
kernels,set_tid_address,-1.028359645655881,-0.3247720716721751,mixed
kernels,write,-1.2713665020962277,0.9013021257629991,mixed
