variant,key,bytes,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,munmap,5000000,100,5000,usec_per_iter,15.639999999999997,0.4678,-0.8971179758093282
alloc,munmap,5000000,5000,100000,usec_per_iter,0.4678,0.07455999999999999,-0.6130176251010856
alloc,openat,5000000,100,5000,usec_per_iter,0.27,0.0074,-0.9194582838079675
alloc,openat,5000000,5000,100000,usec_per_iter,0.0074,0.00142,-0.5510582982231917
alloc,pread64,5000000,100,5000,usec_per_iter,0.0,0.0076,nan
alloc,pread64,5000000,5000,100000,usec_per_iter,0.0076,0.0006100000000000001,-0.842012682967347
alloc,prlimit64,5000000,100,5000,usec_per_iter,0.24,0.0108,-0.7927082189723529
alloc,prlimit64,5000000,5000,100000,usec_per_iter,0.0108,0.00022,-1.2997402675575829
alloc,read,5000000,100,5000,usec_per_iter,0.21,0.0142,-0.6886118927144261
alloc,read,5000000,5000,100000,usec_per_iter,0.0142,0.00096,-0.8993006427544892
alloc,rseq,5000000,100,5000,usec_per_iter,0.21000000000000005,0.0032,-1.0695122996736772
alloc,rseq,5000000,5000,100000,usec_per_iter,0.0032,0.00026000000000000003,-0.8379335095903893
alloc,rt_sigaction,5000000,100,5000,usec_per_iter,0.24,0.0028,-1.1377794813539694
alloc,rt_sigaction,5000000,5000,100000,usec_per_iter,0.0028,0.00024999999999999995,-0.8064518313697395
alloc,rt_sigprocmask,5000000,100,5000,usec_per_iter,4.02,0.0098,-1.5379906477002057
alloc,rt_sigprocmask,5000000,5000,100000,usec_per_iter,0.0098,0.00232,-0.48095592944592325
alloc,set_robust_list,5000000,100,5000,usec_per_iter,0.28,0.0022,-1.2388302001497504
alloc,set_robust_list,5000000,5000,100000,usec_per_iter,0.0022,0.00029,-0.676406144251985
alloc,set_tid_address,5000000,100,5000,usec_per_iter,0.28,0.0026,-1.1961274643960575
alloc,set_tid_address,5000000,5000,100000,usec_per_iter,0.0026,0.00026000000000000003,-0.7686217868402411
alloc,write,5000000,100,5000,usec_per_iter,0.39,0.0148,-0.8362730878152327
alloc,write,5000000,5000,100000,usec_per_iter,0.0148,0.00023,-1.3900785419281427
alloc,sched_yield,5000000,5000,100000,usec_per_iter,0.0206,0.07943,0.45050255884462714
alloc,brk,10000000,100,5000,usec_per_iter,0.66,0.0176,-0.9264620703782654
alloc,brk,10000000,5000,100000,usec_per_iter,0.0176,0.0006,-1.1278459546058648
alloc,clone3,10000000,100,5000,usec_per_iter,2.63,0.0148,-1.3241517080073537
alloc,clone3,10000000,5000,100000,usec_per_iter,0.0148,0.00121,-0.8358580115007367
alloc,close,10000000,100,5000,usec_per_iter,1.43,0.0432,-0.8945727627746607
alloc,close,10000000,5000,100000,usec_per_iter,0.0432,0.00209,-1.0109970293441046
alloc,execve,10000000,100,5000,usec_per_iter,4.22,0.0334,-1.2369647367443846
alloc,execve,10000000,5000,100000,usec_per_iter,0.0334,0.0,nan
alloc,faccessat,10000000,100,5000,usec_per_iter,0.29,0.0134,-0.7859427748143204
