variant,bytes,iterations,key,calls,seconds,pct_time_sum,calls_per_iter,usec_per_iter,usec_per_call,calls_per_byte,usec_per_byte
kernels,1000000,5000,execve,2,0.0,0.0,0.0004,0.0,0.0,2e-06,0.0
kernels,1000000,5000,faccessat,2,0.0,0.0,0.0004,0.0,0.0,2e-06,0.0
kernels,1000000,5000,fstat,28,0.000348,2.87,0.0056,0.0696,12.428571428571429,2.8e-05,0.000348
kernels,1000000,5000,futex,19,0.017887,147.28,0.0038,3.5774,941.421052631579,1.9e-05,0.017887
kernels,1000000,5000,getrandom,2,6.3e-05,0.52,0.0004,0.0126,31.5,2e-06,6.3e-05
kernels,1000000,5000,ioctl,2,2.4e-05,0.2,0.0004,0.0048,12.0,2e-06,2.4e-05
kernels,1000000,5000,lseek,4,5.1e-05,0.42,0.0008,0.0102,12.75,4e-06,5.1e-05
kernels,1000000,5000,madvise,2,2.4e-05,0.2,0.0004,0.0048,12.0,2e-06,2.4e-05
kernels,1000000,5000,mmap,68,0.001366,11.25,0.0136,0.2732,20.08823529411765,6.8e-05,0.001366
kernels,1000000,5000,mprotect,28,0.000549,4.52,0.0056,0.1098,19.607142857142858,2.8e-05,0.000549
kernels,1000000,5000,munmap,32,0.0016409999999999999,13.54,0.0064,0.32819999999999994,51.28124999999999,3.2e-05,0.0016409999999999999
kernels,1000000,5000,newfstatat,8,0.00010899999999999999,0.9,0.0016,0.0218,13.625,8e-06,0.000109
kernels,1000000,5000,openat,36,0.000616,5.08,0.0072,0.1232,17.11111111111111,3.6e-05,0.000616
kernels,1000000,5000,pread64,4,0.000144,1.1800000000000002,0.0008,0.0288,36.0,4e-06,0.000144
kernels,1000000,5000,prlimit64,2,4.2000000000000004e-05,0.35,0.0004,0.008400000000000001,21.000000000000004,2e-06,4.2000000000000004e-05
kernels,1000000,5000,read,24,0.0006169999999999999,5.1000000000000005,0.0048,0.12339999999999998,25.70833333333333,2.4e-05,0.0006169999999999999
kernels,1000000,5000,rseq,2,3.6e-05,0.30000000000000004,0.0004,0.0072,18.0,2e-06,3.6e-05
kernels,1000000,5000,rt_sigaction,2,3.1e-05,0.26,0.0004,0.0062,15.5,2e-06,3.1e-05
kernels,1000000,5000,rt_sigprocmask,6,0.000108,0.89,0.0012,0.0216,18.0,6e-06,0.000108
kernels,1000000,5000,sched_yield,1,1.5e-05,0.12,0.0002,0.003,15.0,1e-06,1.5e-05
kernels,1000000,5000,set_robust_list,2,5.9999999999999995e-05,0.49,0.0004,0.011999999999999999,29.999999999999996,2e-06,5.9999999999999995e-05
kernels,1000000,5000,set_tid_address,2,2.4999999999999998e-05,0.21000000000000002,0.0004,0.004999999999999999,12.499999999999998,2e-06,2.4999999999999998e-05
kernels,1000000,5000,write,2,2e-06,0.02,0.0004,0.0004,1.0,2e-06,2e-06
kernels,1000000,100000,brk,236,0.003252,1.1199999999999999,0.00236,0.03252,13.779661016949152,0.000236,0.003252
kernels,1000000,100000,clone3,2,8.1e-05,0.03,2e-05,0.00081,40.5,2e-06,8.1e-05
kernels,1000000,100000,close,26,0.00037600000000000003,0.13,0.00026,0.0037600000000000008,14.461538461538463,2.6e-05,0.00037600000000000003
kernels,1000000,100000,execve,2,0.0,0.0,2e-05,0.0,0.0,2e-06,0.0
kernels,1000000,100000,faccessat,2,0.0,0.0,2e-05,0.0,0.0,2e-06,0.0
kernels,1000000,100000,fstat,28,0.00031099999999999997,0.1,0.00028,0.0031099999999999995,11.107142857142856,2.8e-05,0.00031099999999999997
kernels,1000000,100000,futex,21,0.590407,196.56,0.00021,5.90407,28114.619047619046,2.1e-05,0.590407
kernels,1000000,100000,getrandom,2,2.6e-05,0.0,2e-05,0.00026,13.0,2e-06,2.6e-05
kernels,1000000,100000,ioctl,2,1e-06,0.0,2e-05,1e-05,0.5,2e-06,1e-06
kernels,1000000,100000,lseek,4,7.8e-05,0.03,4e-05,0.00078,19.5,4e-06,7.8e-05
kernels,1000000,100000,madvise,2,3.5e-05,0.01,2e-05,0.00035,17.5,2e-06,3.5e-05
kernels,1000000,100000,mmap,76,0.0014039999999999999,0.47,0.00076,0.014039999999999997,18.47368421052631,7.6e-05,0.0014039999999999999
