variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,pread64,5000,5000000,10000000,usec_per_iter,0.0076,0.0056,-0.4405725913859807
alloc,prlimit64,5000,1000000,5000000,usec_per_iter,0.0,0.0108,nan
alloc,prlimit64,5000,5000000,10000000,usec_per_iter,0.0108,0.0034,-1.667424660913129
alloc,read,5000,1000000,5000000,usec_per_iter,0.0,0.0142,nan
alloc,read,5000,5000000,10000000,usec_per_iter,0.0142,0.014,-0.02046410255971641
alloc,rseq,5000,1000000,5000000,usec_per_iter,0.0,0.0032,nan
alloc,rseq,5000,5000000,10000000,usec_per_iter,0.0032,0.0026,-0.29956028185890893
alloc,rt_sigaction,5000,1000000,5000000,usec_per_iter,0.0,0.0028,nan
alloc,rt_sigaction,5000,5000000,10000000,usec_per_iter,0.0028,0.0034,0.28010791919273503
alloc,rt_sigprocmask,5000,1000000,5000000,usec_per_iter,0.0,0.0098,nan
alloc,rt_sigprocmask,5000,5000000,10000000,usec_per_iter,0.0098,0.0076,-0.36678233067162325
alloc,sched_yield,5000,1000000,10000000,usec_per_iter,0.0148,0.0376,0.4049261295327037
alloc,set_robust_list,5000,1000000,5000000,usec_per_iter,0.0,0.0022,nan
alloc,set_robust_list,5000,5000000,10000000,usec_per_iter,0.0022,0.004,0.8624964762500652
alloc,set_tid_address,5000,1000000,5000000,usec_per_iter,0.0,0.0026,nan
alloc,set_tid_address,5000,5000000,10000000,usec_per_iter,0.0026,0.002,-0.37851162325372883
alloc,write,5000,1000000,5000000,usec_per_iter,0.0028,0.0036,0.15615043384980268
alloc,write,5000,5000000,10000000,usec_per_iter,0.0036,0.0072,1.0
alloc,brk,100000,1000000,5000000,usec_per_iter,0.0,0.00047,nan
alloc,brk,100000,5000000,10000000,usec_per_iter,0.00047,0.00025,-0.9107326619029119
alloc,clone3,100000,1000000,5000000,usec_per_iter,0.0,0.00044,nan
alloc,clone3,100000,5000000,10000000,usec_per_iter,0.00044,0.00043,-0.033166863935199166
alloc,close,100000,1000000,5000000,usec_per_iter,0.0,0.00069,nan
alloc,close,100000,5000000,10000000,usec_per_iter,0.00069,0.00107,0.6329425296229781
alloc,execve,100000,1000000,5000000,usec_per_iter,0.0,0.00182,nan
alloc,execve,100000,5000000,10000000,usec_per_iter,0.00182,0.0,nan
alloc,faccessat,100000,1000000,5000000,usec_per_iter,0.0,0.00019,nan
alloc,faccessat,100000,5000000,10000000,usec_per_iter,0.00019,0.0,nan
