variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
kernels,sync,100,1000000,5000000,usec_per_iter,16.41,23.02,0.21030478751419115
kernels,sync,100,5000000,10000000,usec_per_iter,23.02,69.98,1.6040548311076193
kernels,control_io,5000,1000000,5000000,usec_per_iter,0.0048,0.003,-0.29202967422017906
kernels,control_io,5000,5000000,10000000,usec_per_iter,0.003,0.002,-0.5849625007211552
kernels,file_io,5000,1000000,5000000,usec_per_iter,0.3542,0.32480000000000003,-0.053839987483678846
kernels,file_io,5000,5000000,10000000,usec_per_iter,0.32480000000000003,0.33579999999999993,0.04805059775185315
kernels,memory,5000,1000000,5000000,usec_per_iter,0.7388,0.8716000000000002,0.10270874910320495
kernels,memory,5000,5000000,10000000,usec_per_iter,0.8716000000000002,1.0372000000000001,0.25095600973738763
kernels,other,5000,1000000,5000000,usec_per_iter,0.1778,0.32800000000000007,0.38047710978686944
kernels,other,5000,5000000,10000000,usec_per_iter,0.32800000000000007,0.42580000000000007,0.3764801349468479
kernels,sync,5000,1000000,5000000,usec_per_iter,3.580399999999999,12.4264,0.7731573278244517
kernels,sync,5000,5000000,10000000,usec_per_iter,12.4264,30.6124,1.3007077561992253
kernels,control_io,100000,1000000,5000000,usec_per_iter,1e-05,0.00184,3.240221767686557
kernels,control_io,100000,5000000,10000000,usec_per_iter,0.00184,0.00075,-1.2947432655611313
kernels,file_io,100000,1000000,5000000,usec_per_iter,0.015799999999999998,0.015710000000000002,-0.003549368211882153
kernels,file_io,100000,5000000,10000000,usec_per_iter,0.015710000000000002,0.019309999999999997,0.29766498365645405
kernels,memory,100000,1000000,5000000,usec_per_iter,0.07846000000000002,0.11968,0.26234784839023645
kernels,memory,100000,5000000,10000000,usec_per_iter,0.11968,0.43167000000000005,1.8507467521990806
kernels,other,100000,1000000,5000000,usec_per_iter,0.00824,0.01636,0.4261357222634102
kernels,other,100000,5000000,10000000,usec_per_iter,0.01636,0.011790000000000002,-0.4726090299619866
kernels,sync,100000,1000000,5000000,usec_per_iter,5.90407,14.19911,0.5452446075804326
kernels,sync,100000,5000000,10000000,usec_per_iter,14.19911,108.68035,2.9362187072389663
