iterations,control_io,file_io,memory,other,sync
100,1.46,17.24,40.56,8.200000000000001,60.61
5000,0.0014,0.1462,0.6454000000000001,0.1036,13.2882
10000,0.0015,0.057,0.5804,0.0571999999999999,12.567900000000002
50000,0.0,0.02704,0.18284,0.01282,13.20224
100000,0.0,0.01683,0.20494,0.00642,14.07721
