case,worker_config,policy,delay_us,total_be_workers,long_be_workers,chunked_be_workers,start_order,n,lc_p50_ms_mean,lc_p95_ms_mean,lc_p99_ms_mean,lc_max_ms_mean,be_agg_thr_s_mean,be_per_proc_thr_s_mean,be_wall_ms_mean,be_total_active_ms_mean,be_phase_count_mean,overlap_union_ms_mean,overlap_weighted_ms_mean,overlap_count_mean,max_concurrent_be_mean
lc_vs_mixed,mixed4,proper,5000,4,2,2,be_first,5,22.1002084,26.82025289,27.408258374,27.800262,58.39865003407169,14.599662508517923,5480.6516434000005,13838.5303996,320.0,22.652213492,73.148689464,3.8,3.424
lc_vs_mixed,mixed4,proper,10000,4,2,2,be_first,5,20.4001926,25.02023551,26.506249558,26.8002524,59.03472569093366,14.758681422733416,5420.651073,13490.327105,320.0,21.112198892000002,55.384521788,3.288,2.816
lc_vs_mixed,mixed4,proper,25000,4,2,2,be_first,5,20.1001898,23.22021898,25.110236594,25.6002412,59.27229454041914,14.818073635104785,5398.8508626,13538.927553,320.0,20.6321944,47.6924494,3.032,2.516
lc_vs_mixed,mixed4,proper,50000,4,2,2,be_first,5,20.0001888,21.420201979999998,22.310210398,22.8002152,59.00946586145112,14.75236646536278,5423.051086,13514.1273096,320.0,20.396192124,42.26439812,2.744,2.236
